Opening Weekend Rank,Released,Worldwide Release,Title,"Theatrical
Distributor",Genre,Source,"Production
Method","Creative
Type","Production
Budget","Opening Weekend
Theaters","Maximum
Theaters","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
1,"Oct 31, 2003","Oct 31, 2003",Pinjar,,Drama,,,,$0,20,22,"$16,542","$66,290","$100,806",$0,"$66,290"
2,"Jul 11, 2003","Jul 11, 2003",The Cuckoo,,,,,,$0,6,14,"$16,473","$243,187","$369,817",$0,"$243,187"
3,"Jan 24, 2003","Jan 24, 2003",Amen,Kino International,Drama,Based on Play,Live Action,,"$14,000,000",5,9,"$16,284","$274,299","$417,134",$0,"$274,299"
4,"Apr 4, 2003","Apr 4, 2003",The Guys,,,,,,$0,15,15,"$16,068","$16,068","$24,429",$0,"$16,068"
5,"Feb 21, 2003","Feb 21, 2003",The Lawless Heart,,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,1,17,"$15,544","$330,067","$501,938","$35,330","$365,397"
6,"Aug 22, 2003","Aug 22, 2003",Don't Tempt Me,,,,,,$0,3,3,"$15,271","$77,732","$118,201",$0,"$77,732"
7,"Aug 29, 2003","Aug 29, 2003",Party Monster,ContentFilm,Comedy,Based on Real Life Events,Live Action,Dramatization,"$5,000,000",1,13,"$15,163","$742,898","$1,129,230","$151,132","$894,030"
8,"Mar 14, 2003","Mar 14, 2003",Spun,,,,,,"$4,500,000",1,24,"$15,160","$410,241","$623,863","$612,408","$1,022,649"
9,"Jan 10, 2003","Oct 20, 1970",Le cercle rouge,,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,$0,1,5,"$14,843","$372,229","$566,055","$108,354","$480,583"
10,"Nov 14, 2003","Sep 17, 1953",I Vitelloni,Kino International,Drama,,Live Action,,$0,1,3,"$14,790","$115,263","$172,818","$38,725","$153,988"
11,"Feb 21, 2003","Feb 21, 2003",Open Hearts,,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,2,13,"$14,224","$135,990","$206,802","$146,135","$282,125"
12,"Feb 21, 2003","Feb 21, 2003",Amandla! A Revolution in Four Part Ha…,Artisan,Documentary,Based on Real Life Events,Live Action,Factual,$0,1,16,"$14,181","$405,331","$616,398","$70,592","$475,923"
13,"Jun 6, 2003","Jun 6, 2003",The Weather Underground,Shadow,Documentary,Based on Real Life Events,Live Action,Factual,$0,1,14,"$13,984","$564,632","$855,836",$0,"$564,632"
14,"May 9, 2003","May 9, 2003",The Trip,,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,1,7,"$13,774","$305,403","$464,433",$0,"$305,403"
15,"Mar 21, 2003","Mar 21, 2003",Down & Out with the Dolls,Indican Pictures,,,,,"$1,200,000",7,7,"$13,684","$58,936","$89,618",$0,"$58,936"
16,"Jun 13, 2003","Jun 13, 2003",Tycoon,,,,,,"$5,000,000",2,3,"$13,342","$121,016","$184,024",$0,"$121,016"
17,"May 2, 2003","May 2, 2003",New Suit,,,,,,$0,7,7,"$13,258","$71,475","$108,692",$0,"$71,475"
