Opening Weekend Rank,Released,Worldwide Release,Title,"Theatrical
Distributor",Genre,Source,"Production
Method","Creative
Type","Production
Budget","Opening Weekend
Theaters","Maximum
Theaters","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
1,"Nov 15, 2019","Nov 8, 2019",The Good Liar,Warner Bros.,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$10,000,000","2,439","2,454","$5,605,051","$17,156,058","$17,174,585","$16,053,878","$33,209,936"
2,"Aug 9, 2019","Aug 9, 2019",The Kitchen,Warner Bros.,Drama,Based on Comic/Graphic Novel,Live Action,Historical Fiction,"$38,000,000","2,745","2,745","$5,527,410","$12,180,032","$12,193,331","$3,599,229","$15,779,261"
3,"May 10, 2019","May 10, 2019",Poms,STX Entertainment,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$10,000,000","2,750","2,750","$5,361,937","$13,631,124","$13,645,996","$4,270,190","$17,901,314"
4,"Dec 13, 2019","Dec 13, 2019",Richard Jewell,Warner Bros.,Drama,Based on Factual Book/Article,Live Action,Dramatization,"$45,000,000","2,502","2,502","$4,705,265","$22,345,542","$22,364,997","$20,746,668","$43,092,210"
5,"Mar 1, 2019","Feb 28, 2019",Greta,Focus Features,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,$0,"2,411","2,417","$4,481,910","$10,544,310","$10,555,825","$8,201,558","$18,745,868"
6,"Apr 5, 2019","Apr 5, 2019",The Best of Enemies,STX Entertainment,Drama,Based on Factual Book/Article,Live Action,Dramatization,"$10,000,000","1,705","1,705","$4,446,190","$10,205,616","$10,216,756","$63,133","$10,268,749"
7,"Jan 25, 2019","Jan 24, 2019",Serenity,Aviron Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$25,000,000","2,561","2,561","$4,415,403","$8,547,045","$8,556,371","$4,461,759","$13,008,804"
8,"Aug 16, 2019","Aug 9, 2019",Blinded by the Light,Warner Bros.,Drama,Based on Real Life Events,Live Action,Dramatization,"$15,000,000","2,307","2,307","$4,333,305","$11,901,145","$11,914,141","$6,235,611","$18,136,756"
9,"Dec 13, 2019","Dec 13, 2019",Black Christmas,Universal,Horror,Remake,Live Action,Contemporary Fiction,"$5,000,000","2,625","2,625","$4,240,245","$10,429,730","$10,440,504","$8,096,357","$18,526,087"
10,"Mar 15, 2019","Mar 15, 2019",No Manches Frida 2,Lionsgate,Comedy,Based on Movie,Live Action,Contemporary Fiction,$0,472,472,"$3,831,401","$9,270,920","$9,281,040","$17,106,879","$26,377,799"
11,"Jun 21, 2019","Jun 19, 2019",Anna,Lionsgate,Action,Original Screenplay,Live Action,Contemporary Fiction,"$30,000,000","2,114","2,114","$3,600,647","$7,743,794","$7,752,245","$25,081,423","$32,825,217"
12,"Nov 1, 2019","Nov 1, 2019",Motherless Brooklyn,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$26,000,000","1,342","1,342","$3,500,454","$9,277,736","$9,287,862","$9,199,540","$18,477,276"
13,"Aug 16, 2019","Aug 16, 2019",Whereâ€™d You Go Bernadette,United Artists,Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$20,000,000","2,404","2,404","$3,462,308","$9,198,356","$9,208,395","$1,646,242","$10,844,598"
14,"Mar 15, 2019","Mar 14, 2019",Captive State,Focus Features,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$25,000,000","2,548","2,549","$3,131,525","$5,958,315","$5,964,819","$3,404,895","$9,363,210"
15,"Oct 11, 2019","Oct 11, 2019",Jexi,Lionsgate,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$5,000,000","2,332","2,332","$3,106,730","$6,546,159","$6,553,304","$4,054,968","$10,601,127"
16,"Sep 27, 2019","Sep 27, 2019",Judy,Roadside Attractions,Drama,Based on Real Life Events,Live Action,Dramatization,$0,461,"1,627","$2,916,548","$24,319,961","$24,346,185","$21,175,039","$45,495,000"
17,"Nov 1, 2019","Nov 1, 2019",Arctic Dogs,Entertainment Studios Motion Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$50,000,000","2,844","2,844","$2,901,335","$5,801,249","$5,807,581","$5,483,905","$11,285,154"
18,"Sep 13, 2019","Sep 12, 2019",The Goldfinch,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$40,000,000","2,542","2,542","$2,679,027","$5,332,621","$5,338,444","$4,097,289","$9,429,910"
19,"Oct 25, 2019","Jul 17, 2019",The Current War: Directorâ€™s Cut,101 Studios,Drama,Based on Real Life Events,Live Action,Dramatization,"$30,000,000","1,022","1,082","$2,633,717","$5,978,673","$5,985,195","$6,891,082","$12,869,755"
20,"Jun 14, 2019","May 15, 2019",The Dead Donâ€™t Die,Focus Features,Horror,Original Screenplay,Live Action,Science Fiction,$0,613,690,"$2,540,240","$6,782,066","$6,789,468","$8,961,988","$15,744,054"
21,"May 17, 2019","May 17, 2019",The Sun is Also a Star,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$9,000,000","2,073","2,073","$2,511,530","$4,950,029","$4,955,431","$730,881","$5,680,910"
22,"Jan 11, 2019","Oct 25, 2018",Replicas,Entertainment Studios Motion Pictures,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$30,000,000","2,329","2,329","$2,375,325","$4,046,429","$4,050,838","$4,990,998","$9,037,427"
23,"Aug 30, 2019","Aug 30, 2019",Donâ€™t Let Go,OTL Releasing,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$5,000,000",922,922,"$2,338,669","$5,215,062","$5,220,756","$73,074","$5,288,136"
24,"Aug 7, 2019","Aug 2, 2019",Bring the Soul: The Movie,Trafalgar Releasing,Documentary,Based on Real Life Events,Live Action,Factual,$0,873,873,"$2,296,491","$4,809,800","$4,815,048","$8,181,232","$12,991,032"
25,"Apr 17, 2019","Apr 17, 2019",Penguins,Walt Disney,Documentary,Based on Real Life Events,Live Action,Factual,$0,"1,815","1,815","$2,282,593","$7,699,452","$7,707,862",$0,"$7,699,452"
