Opening Weekend Rank,Released,Worldwide Release,Title,"Theatrical
Distributor",Genre,Source,"Production
Method","Creative
Type","Production
Budget","Opening Weekend
Theaters","Maximum
Theaters","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
1,"Sep 15, 2016","Sep 15, 2016",Victor,CanZion Films,Drama,Based on Factual Book/Article,Live Action,Dramatization,$0,12,12,"$38,594","$102,384","$108,536",$0,"$102,384"
2,"Aug 26, 2016","Aug 26, 2016",The Hollars,Sony Pictures Classics,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,4,298,"$38,210","$1,016,985","$1,078,117","$122,517","$1,139,502"
3,"Aug 19, 2016","May 13, 2016",A Tale of Love and Darkness,Focus World,Drama,Based on Factual Book/Article,Live Action,Dramatization,$0,2,66,"$37,170","$572,212","$606,605","$144,953","$717,165"
4,"Sep 9, 2016","Sep 9, 2016",Other People,Self Distributed,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,12,12,"$36,997","$91,441","$96,936",$0,"$91,441"
5,"Jul 15, 2016","Jun 24, 2016",Seondal: The Man who Sells the River,CJ Entertainment,Action,Based on Folk Tale/Legend/Fairytale,Live Action,Historical Fiction,$0,7,7,"$36,415","$97,223","$103,062","$12,804,849","$12,902,072"
6,"Nov 18, 2016","Nov 4, 2016",A Street Cat Named Bob,Cleopatra Films,Drama,Based on Factual Book/Article,Live Action,Dramatization,"$8,000,000",25,25,"$35,070","$82,703","$87,674","$17,285,817","$17,368,520"
7,"Aug 26, 2016","Apr 17, 2015",Mia madre,Music Box Films,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,6,35,"$34,098","$303,002","$321,216","$10,582,814","$10,885,816"
8,"Sep 2, 2016","Sep 2, 2016",White Girl,FilmRise,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,3,16,"$34,058","$200,242","$212,276",$0,"$200,242"
9,"Aug 19, 2016","Oct 2, 2015",Der Staat gegen Fritz Bauer,Cohen Media Group,Drama,Based on Real Life Events,Live Action,Dramatization,$0,6,35,"$33,781","$288,434","$305,764","$2,752,337","$3,040,771"
10,"Dec 25, 2016","Dec 25, 2016",Live by Night,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$65,000,000",4,"2,822","$33,336","$10,378,555","$10,613,551","$11,395,877","$21,774,432"
11,"Sep 16, 2016","Sep 14, 2016",Cock and Bull,China Lion Film Distribution,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,12,12,"$33,231","$82,778","$87,748","$20,434,698","$20,517,476"
12,"Sep 9, 2016","Sep 9, 2016",Kicks,Focus World,Adventure,Original Screenplay,Live Action,Contemporary Fiction,"$10,000,000",3,65,"$32,111","$150,191","$159,219",$0,"$150,191"
13,"Dec 2, 2016","Apr 8, 2016",L'avenir,IFC Films,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,3,22,"$31,936","$388,265","$406,286","$4,580,413","$4,968,678"
14,"Aug 5, 2016","Jul 20, 2016",Operation Chromite,CJ Entertainment,Action,Original Screenplay,Live Action,Historical Fiction,"$12,700,000",1,114,"$31,662","$1,022,720","$1,084,197","$48,173,812","$49,196,532"
15,"Jul 1, 2016","Feb 12, 2016",Les Innocentes,Music Box Films,Drama,Based on Factual Book/Article,Live Action,Dramatization,"$6,200,000",3,69,"$30,896","$1,065,665","$1,129,726","$8,183,477","$9,249,142"
16,"Feb 26, 2016","Feb 26, 2016",The Last Man on the Moon,Gravitas Ventures,Documentary,Based on Real Life Events,Live Action,Factual,$0,13,14,"$30,880","$52,482","$55,634","$1,479","$53,961"
