Opening Weekend Rank,Released,Worldwide Release,Title,"Theatrical
Distributor",Genre,Source,"Production
Method","Creative
Type","Production
Budget","Opening Weekend
Theaters","Maximum
Theaters","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
1,"Jan 19, 2001","Jan 19, 2001",Kuch Kathi Kuch Meethi,,,,,,$0,23,23,"$57,188","$57,188","$92,645",$0,"$57,188"
2,"May 25, 2001","May 25, 2001",The Road Home,Sony Pictures Classics,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,$0,6,37,"$56,413","$1,280,090","$2,073,924","$5,500,000","$6,780,090"
3,"Sep 7, 2001","Sep 7, 2001",Our Lady of the Assassins,Paramount Vantage,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,$0,4,24,"$56,069","$525,029","$850,279",$0,"$525,029"
4,"Dec 14, 2001","Dec 14, 2001",The Other Side of Heaven,Excel Entertainment,Drama,Based on Factual Book/Article,Live Action,Dramatization,"$7,000,000",2,306,"$55,765","$4,720,371","$7,477,805",$0,"$4,720,371"
5,"Feb 2, 2001","Feb 2, 2001",The Invisible Circus,,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,$0,105,105,"$55,388","$77,578","$125,684","$418,619","$496,197"
6,"Jun 22, 2001","Jun 22, 2001",Der Krieger und die Kaiserin,Sony Pictures Classics,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,3,31,"$51,426","$871,058","$1,411,235",$0,"$871,058"
7,"May 11, 2001","May 11, 2001",Bread and Roses,Lionsgate,Drama,Original Screenplay,Live Action,,$0,34,39,"$49,662","$536,465","$869,142","$746,128","$1,282,593"
8,"Apr 6, 2001","Apr 6, 2001",The Day I Became a Woman,,,,,,$0,14,16,"$48,255","$344,235","$557,701",$0,"$344,235"
9,"Jul 13, 2001","Jul 13, 2001",Bully,Lionsgate,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$2,100,000",6,263,"$47,502","$881,824","$1,254,658","$500,000","$1,381,824"
10,"Dec 28, 2001","Dec 28, 2001",Charlotte Gray,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,$0,5,52,"$46,271","$668,140","$1,059,658",$0,"$668,140"
11,"Jan 26, 2001","Jan 26, 2001",15 f̩vrier 1839,Lionsgate,Drama,Original Screenplay,Live Action,Historical Fiction,$0,6,36,"$45,610","$640,790","$1,038,163",$0,"$640,790"
12,"Sep 21, 2001","Sep 21, 2001",Liam,Lionsgate,Drama,Original Screenplay,Live Action,Historical Fiction,$0,7,55,"$44,399","$1,016,021","$1,646,098","$649,684","$1,665,705"
13,"Sep 28, 2001","Sep 28, 2001",Va Savoir (Who Knows?),Sony Pictures Classics,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,3,35,"$43,010","$907,323","$1,465,302",$0,"$907,323"
14,"Mar 9, 2001","Mar 9, 2001",When Brandon Met Trudy,,,,,,$0,14,14,"$42,055","$132,384","$214,477",$0,"$132,384"
15,"Jun 15, 2001","Jun 15, 2001",Songcatcher,Lionsgate,Drama,Original Screenplay,Live Action,Historical Fiction,"$1,800,000",7,104,"$41,967","$3,050,934","$4,942,942",$0,"$3,050,934"
16,"Dec 28, 2001","Dec 28, 2001",I Am Sam,New Line,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$22,000,000",2,"1,450","$41,779","$40,270,895","$63,564,725","$52,271,523","$92,542,418"
17,"Jul 6, 2001","Jul 6, 2001",Lost and Delirious,,,,,,$0,7,20,"$41,215","$302,365","$489,871",$0,"$302,365"
18,"Aug 10, 2001","Aug 10, 2001",An American Rhapsody,Paramount Vantage,Drama,Original Screenplay,Live Action,,$0,7,54,"$40,200","$850,023","$1,375,326",$0,"$850,023"
19,"Feb 23, 2001","Feb 23, 2001",Last Resort,,,,,,$0,14,14,"$37,283","$114,657","$185,757",$0,"$114,657"
20,"Sep 14, 2001","Sep 14, 2001",Haiku Tunnel,,,,,,$0,8,15,"$35,386","$251,058","$406,745",$0,"$251,058"
21,"Jun 8, 2001","Jun 8, 2001",Bride of the Wind,Paramount Vantage,Drama,Based on Real Life Events,Live Action,Dramatization,$0,8,42,"$35,208","$419,414","$679,506",$0,"$419,414"
22,"Nov 21, 2001","Nov 21, 2001",The Devil's Backbone,Sony Pictures Classics,Horror,Original Screenplay,Live Action,Historical Fiction,$0,4,35,"$34,963","$755,249","$1,210,963",$0,"$755,249"
23,"Jan 19, 2001","Jan 19, 2001",The Amati Girls,Providence Entertainment,Drama,Original Screenplay,Live Action,,$0,97,97,"$33,902","$47,767","$77,386",$0,"$47,767"
24,"Oct 19, 2001","Jul 27, 2001",Intimacy,Empire Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,$0,5,11,"$33,808","$561,954","$906,363","$223,821","$785,775"
25,"May 11, 2001","May 11, 2001",About Adam,Miramax,Comedy,Original Screenplay,Live Action,,$0,5,11,"$33,300","$151,559","$245,545",$0,"$151,559"
26,"Jul 6, 2001","Jul 6, 2001",Jump Tomorrow,,,,,,$0,8,15,"$33,236","$187,474","$303,729",$0,"$187,474"
27,"Jul 27, 2001","Jul 27, 2001",Pane e tulipani,First Look,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,1,84,"$32,933","$5,311,177","$8,601,451",$0,"$5,311,177"
28,"May 4, 2001","May 4, 2001",Under the Sand,WellSpring,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,2,25,"$32,657","$1,450,106","$2,349,143",$0,"$1,450,106"
29,"Mar 2, 2001","Mar 2, 2001",The Widow of St. Pierre,Lionsgate,Drama,Based on Real Life Events,Live Action,Dramatization,"$13,000,000",1,79,"$31,702","$3,058,380","$4,955,000",$0,"$3,058,380"
30,"Oct 12, 2001","Oct 12, 2001",Fat Girl,Cowboy Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,4,17,"$31,237","$725,854","$1,164,663",$0,"$725,854"
31,"Oct 19, 2001","Oct 19, 2001",Dancing at the Blue Iguana,,,,,,$0,7,7,"$30,181","$60,103","$97,367",$0,"$60,103"
32,"Feb 2, 2001","Feb 2, 2001",The Million Dollar Hotel,,,,,,$0,10,10,"$29,483","$52,526","$85,098",$0,"$52,526"
