Opening Weekend Rank,Released,Worldwide Release,Title,"Theatrical
Distributor",Genre,Source,"Production
Method","Creative
Type","Production
Budget","Opening Weekend
Theaters","Maximum
Theaters","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
1,"Dec 17, 2008","Dec 17, 2008",The Wrestler,Fox Searchlight,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$6,000,000",4,776,"$202,714","$26,238,243","$32,152,780","$20,396,032","$46,634,275"
2,"Sep 5, 2008","Sep 5, 2008",Everybody Wants to Be Italian,Roadside Attractions,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$3,000,000",98,98,"$197,861","$351,416","$448,807",$0,"$351,416"
3,"Feb 15, 2008","Feb 15, 2008",A Collection of 2007 Academy Award No…,Magnolia Pictures,Multiple Genres,Compilation,Multiple Production Methods,Multiple Creative Types,$0,65,65,"$197,664","$508,695","$649,676",$0,"$508,695"
4,"Oct 17, 2008","Oct 17, 2008",What Just Happened,Magnolia Pictures,Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$27,000,000",36,88,"$192,508","$1,090,947","$1,393,308","$1,321,176","$2,412,123"
5,"Oct 10, 2008","Oct 10, 2008",Billy: The Early Years of Billy Graham,Rocky Mountain Pictures,Drama,Based on Real Life Events,Live Action,Dramatization,"$3,600,000",282,282,"$192,042","$320,896","$409,835",$0,"$320,896"
6,"Jul 4, 2008","Jul 4, 2008",Gonzo: The Life and Work of Dr. Hunte…,Magnolia Pictures,Documentary,Based on Real Life Events,Live Action,Factual,$0,25,59,"$191,942","$1,252,100","$1,599,129","$240,000","$1,492,100"
7,"Sep 19, 2008","Sep 19, 2008",The Duchess,Paramount Vantage,Drama,Based on Fiction Book/Short Story,Live Action,Dramatization,"$27,000,000",7,"1,207","$190,426","$13,848,978","$17,687,344","$31,311,132","$45,160,110"
8,"Dec 26, 2008","Dec 26, 2008",Revolutionary Road,Paramount Vantage,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$45,000,000",3,"1,077","$189,911","$22,951,340","$28,136,797","$56,653,480","$79,604,820"
9,"Mar 7, 2008","Mar 7, 2008",La Ligne BrisÃ©e,,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,61,61,"$187,988","$466,309","$595,546",$0,"$466,309"
10,"Sep 26, 2008","Sep 26, 2008",The Lucky Ones,Lionsgate,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$14,000,000",425,425,"$183,088","$266,967","$340,959",$0,"$266,967"
11,"Mar 28, 2008","Mar 28, 2008",Flawless,Magnolia Pictures,Drama,Original Screenplay,Live Action,Historical Fiction,$0,35,65,"$181,910","$1,200,234","$1,532,885","$3,800,000","$5,000,234"
12,"Jun 27, 2008","Jun 27, 2008",Thoda Pyaar Thoda Magic,Yash Raj Films,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,83,83,"$181,610","$335,874","$428,963","$4,615,005","$4,950,879"
13,"Dec 5, 2008","Dec 5, 2008",Frost/Nixon,Universal,Drama,Based on Play,Live Action,Dramatization,"$29,000,000",3,"1,105","$180,708","$18,622,031","$23,111,353","$9,830,914","$28,452,945"
14,"Feb 29, 2008","Feb 29, 2008",Bonneville,Senart/Scranton-Lacy,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,101,101,"$174,571","$488,393","$623,753",$0,"$488,393"
15,"Oct 24, 2008","Oct 24, 2008",Passengers,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,$0,125,125,"$172,544","$292,437","$373,485",$0,"$292,437"
16,"Oct 24, 2008","Oct 24, 2008","Synecdoche, New York",Sony Pictures Classics,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$20,000,000",9,119,"$172,194","$3,083,538","$3,917,580","$1,300,000","$4,383,538"
17,"Jul 4, 2008","Jul 4, 2008",Ne le dis Ã  personne,Music Box Films,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$18,500,000",8,112,"$169,707","$6,198,883","$7,913,637","$27,755,135","$33,954,018"
18,"Dec 10, 2008","Dec 10, 2008",The Reader,Weinstein Co.,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$32,500,000",8,"1,203","$168,051","$34,194,407","$42,001,993","$78,770,468","$112,964,875"
19,"Oct 24, 2008","Oct 24, 2008",Noah's Arc: Jumping the Broom,Logo Features,Romantic Comedy,Based on TV,Live Action,Contemporary Fiction,$0,5,9,"$150,854","$532,878","$680,561",$0,"$532,878"
20,"Aug 29, 2008","Aug 29, 2008",Goal! 2: Living the Dream...,Walt Disney,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,99,99,"$150,098","$225,067","$287,443","$4,034,000","$4,259,067"
21,"Apr 18, 2008","Apr 18, 2008",Where in the World is Osama Bin Laden?,Weinstein Co.,Documentary,Based on Real Life Events,Live Action,Factual,$0,102,102,"$148,698","$384,955","$491,640",$0,"$384,955"
22,"Feb 22, 2008","Feb 22, 2008",The Signal,Magnolia Pictures,Horror,Original Screenplay,Live Action,Science Fiction,"$50,000",160,160,"$144,836","$251,150","$320,757","$155,149","$406,299"
23,"Oct 8, 2008","Oct 8, 2008",RocknRolla,Warner Bros.,Action,Original Screenplay,Live Action,Contemporary Fiction,"$18,000,000",7,836,"$144,701","$5,700,626","$7,280,604","$22,093,713","$27,794,339"
24,"Jul 3, 2008","Jul 3, 2008",The Wackness,Sony Pictures Classics,Comedy,Original Screenplay,Live Action,Historical Fiction,"$6,000,000",6,142,"$138,401","$2,077,046","$2,652,716","$1,252,966","$3,330,012"
25,"Oct 3, 2008","Oct 3, 2008",Kidnap,Studio 18,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,$0,60,60,"$138,000","$328,573","$419,638","$7,143,415","$7,471,988"
26,"Jun 6, 2008","Jun 6, 2008",Mongol,Picturehouse,Drama,Based on Real Life Events,Live Action,Dramatization,"$18,000,000",5,253,"$135,326","$5,705,761","$7,287,161","$21,441,588","$27,147,349"
27,"Feb 29, 2008","Feb 29, 2008",Cidade dos Homens,Miramax,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,$0,75,75,"$130,579","$307,076","$392,183","$2,299,477","$2,606,553"
28,"Oct 17, 2008","Oct 17, 2008",Morning Light,Walt Disney,Documentary,Based on Real Life Events,Live Action,Factual,$0,55,55,"$129,295","$275,093","$351,330",$0,"$275,093"
29,"Aug 15, 2008","Aug 15, 2008",God Tussi Great Ho,Eros Entertainment,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,69,69,"$121,432","$121,432","$155,083","$2,753,072","$2,874,504"
30,"Sep 26, 2008","Sep 26, 2008","C'est pas moi, je le jure!",,Adventure,Based on Fiction Book/Short Story,Live Action,Kids Fiction,$0,37,37,"$118,963","$235,027","$300,162",$0,"$235,027"
31,"Mar 28, 2008","Mar 28, 2008",Hors de Prix,Samuel Goldwyn Films,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,24,44,"$116,308","$2,164,670","$2,764,627","$24,815,993","$26,980,663"
32,"Jun 13, 2008","Jun 13, 2008",Mere Baap Pehle Aap,Shemaroo Entertainment,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,55,55,"$113,576","$113,576","$145,051","$5,824,123","$5,937,699"
33,"Oct 31, 2008","Oct 31, 2008",Fashion,UTV Communications,Musical,Original Screenplay,Live Action,Contemporary Fiction,$0,40,40,"$105,812","$191,442","$244,500",$0,"$191,442"
34,"Aug 8, 2008","Aug 8, 2008",Elegy,Samuel Goldwyn Films,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,$0,6,142,"$104,168","$3,577,210","$4,568,659","$7,881,829","$11,459,039"
35,"May 2, 2008","May 2, 2008",Fugitive Pieces,Samuel Goldwyn Films,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,$0,30,38,"$102,212","$634,379","$810,197",$0,"$634,379"
36,"Aug 8, 2008","Aug 8, 2008",Hell Ride,Weinstein Co.,Action,Original Screenplay,Live Action,Contemporary Fiction,$0,82,82,"$100,164","$213,608","$272,808",$0,"$213,608"
37,"Dec 25, 2008","Dec 25, 2008",Last Chance Harvey,Overture Films,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,6,"1,108","$97,260","$14,889,042","$18,223,449","$19,598,160","$34,487,202"
38,"Mar 21, 2008","Mar 21, 2008",The Hammer,Hammer the Movie,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$850,000",20,34,"$97,137","$442,638","$565,312",$0,"$442,638"
39,"Sep 12, 2008","Sep 12, 2008",Proud American,Lightsource,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,750,750,"$96,076","$131,672","$168,159",$0,"$131,672"
40,"Apr 11, 2008","Apr 11, 2008",Emma Smith: My Story,Candlelight Media,Drama,Based on Real Life Events,Live Action,Dramatization,$0,36,37,"$94,663","$872,427","$1,114,219",$0,"$872,427"
41,"Feb 22, 2008","Feb 22, 2008",Die FÃ¤lscher,Sony Pictures Classics,Drama,Based on Real Life Events,Live Action,Dramatization,"$6,250,000",8,170,"$87,514","$5,488,570","$7,009,777","$14,711,093","$20,199,663"
42,"Apr 11, 2008","Apr 11, 2008",The Visitor,Overture Films,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$4,000,000",4,270,"$86,488","$9,427,026","$12,039,807","$9,747,791","$19,174,817"
43,"Feb 15, 2008","Feb 15, 2008",O Ano em Que Meus Pais SaÃ­ram de FÃ©…,City Lights Pictures,Drama,Original Screenplay,Live Action,Historical Fiction,$0,18,30,"$80,655","$807,117","$1,030,809","$1,800,000","$2,607,117"
44,"May 9, 2008","May 9, 2008",The Fall,Roadside Attractions,Drama,Remake,Live Action,Fantasy,$0,9,111,"$79,611","$2,280,348","$2,912,364","$300,000","$2,580,348"
45,"Aug 1, 2008","Aug 1, 2008",La Graine et le Mulet,,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,10,10,"$79,157","$203,490","$259,887","$11,004,374","$11,207,864"
46,"Apr 4, 2008","Apr 4, 2008",My Blueberry Nights,Weinstein Co.,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$10,000,000",6,69,"$74,146","$866,778","$1,107,012","$21,332,218","$22,198,996"
47,"Oct 10, 2008","Oct 10, 2008",Happy-Go-Lucky,Miramax,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,4,202,"$73,867","$3,512,016","$4,474,410","$17,722,163","$21,234,179"
48,"Apr 25, 2008","Apr 25, 2008",Then She Found Me,ThinkFilm,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,9,153,"$72,594","$3,735,717","$4,771,096","$3,427,203","$7,162,920"
49,"Feb 1, 2008","Feb 1, 2008",Sukkar banat,Roadside Attractions,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$1,600,000",11,74,"$71,916","$1,060,591","$1,354,537","$13,193,169","$14,253,760"
50,"Aug 1, 2008","Aug 1, 2008",Frozen River,Sony Pictures Classics,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$1,000,000",7,96,"$70,234","$2,511,476","$3,196,524","$3,518,653","$6,030,129"
51,"Feb 8, 2008","Feb 8, 2008",Bikur Ha-Tizmoret,Sony Pictures Classics,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$750,000",7,121,"$67,492","$3,053,823","$3,900,212","$12,107,824","$15,161,647"
52,"Feb 22, 2008","Feb 22, 2008",La RiviÃ¨re aux Castors,Alliance Atlantis,Drama,,,Kids Fiction,$0,44,44,"$65,035","$360,886","$460,903",$0,"$360,886"
53,"Nov 14, 2008","Nov 14, 2008",Un conte de NoÃ«l,IFC Films,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,7,48,"$63,837","$1,060,922","$1,351,200","$5,587,717","$6,648,639"
54,"Jul 3, 2008","Jul 3, 2008",Jaane Tu Ya Jaane Na,UTV Communications,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,33,40,"$63,790","$600,922","$767,465","$16,268,582","$16,869,504"
55,"May 2, 2008","May 2, 2008",Redbelt,Sony Pictures Classics,Action,Original Screenplay,Live Action,Contemporary Fiction,"$7,000,000",6,"1,379","$63,361","$2,344,847","$2,994,739","$322,237","$2,667,084"
56,"Aug 22, 2008","Aug 22, 2008",I.O.U.S.A.,Roadside Attractions,Documentary,Based on Real Life Events,Live Action,Factual,$0,18,358,"$61,313","$821,046","$1,048,003",$0,"$821,046"
57,"Dec 12, 2008","Dec 12, 2008","Che, Part 1: The Argentine",IFC Films,Drama,Based on Real Life Events,Live Action,Dramatization,"$58,000,000",2,39,"$61,070","$1,802,521","$2,215,775","$29,824,849","$31,627,370"
58,"Oct 31, 2008","Oct 31, 2008",The Other End of the Line,MGM,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$2,500,000",91,91,"$59,078","$115,504","$147,509","$391,942","$507,446"
59,"Feb 15, 2008","Feb 15, 2008","Me & You, Us, Forever",Five & Two Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,78,78,"$58,662","$84,093","$107,399",$0,"$84,093"
60,"Mar 7, 2008","Mar 7, 2008",Married Life,Sony Pictures Classics,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$12,000,000",9,120,"$55,851","$1,506,998","$1,924,673","$1,468,190","$2,975,188"
61,"Apr 18, 2008","Apr 18, 2008",The First Saturday in May,Truly Indie,Documentary,Based on Real Life Events,Live Action,Factual,$0,20,20,"$54,553","$124,294","$158,742",$0,"$124,294"
62,"Apr 18, 2008","Apr 18, 2008",Pathology,MGM,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$8,000,000",46,46,"$54,244","$109,045","$139,265","$3,161,929","$3,270,974"
63,"May 2, 2008","May 2, 2008",Son of Rambow: A Home Movie,Paramount Vantage,Comedy,Original Screenplay,Live Action,Historical Fiction,"$2,000,000",5,155,"$53,789","$1,785,505","$2,280,377","$9,477,758","$11,263,263"
64,"Apr 25, 2008","Apr 25, 2008",A Plumm Summer,Freestyle Releasing,Adventure,Based on Real Life Events,Live Action,Dramatization,$0,58,58,"$53,752","$60,668","$77,477",$0,"$60,668"
65,"Nov 7, 2008","Nov 7, 2008",Repo! The Genetic Opera,Lionsgate,Musical,Original Screenplay,Live Action,Science Fiction,"$8,500,000",8,11,"$53,684","$140,244","$179,108","$58,639","$198,883"
66,"Aug 29, 2008","Aug 29, 2008",Obsluhoval jsem anglickÃ©ho krÃ¡le,Sony Pictures Classics,Black Comedy,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$4,900,000",8,38,"$53,218","$617,228","$788,290","$6,557,756","$7,174,984"
67,"Sep 12, 2008","Sep 12, 2008",Towelhead,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,$0,4,100,"$52,823","$372,124","$475,263","$28,631","$400,755"
68,"Sep 12, 2008","Sep 12, 2008",Il y a longtemps que je t'aime,,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,10,69,"$51,831","$3,169,305","$4,003,374","$20,287,323","$23,456,628"
