Opening Weekend Rank,Released,Worldwide Release,Title,"Theatrical
Distributor",Genre,Source,"Production
Method","Creative
Type","Production
Budget","Opening Weekend
Theaters","Maximum
Theaters","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
1,"Nov 16, 2001","Nov 15, 2001",Harry Potter and the Sorcererâ€™s Stone,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$125,000,000","3,672","3,672","$90,294,621","$317,871,467","$513,799,034","$647,172,027","$965,043,494"
2,"Jul 27, 2001","Jul 27, 2001",Planet of the Apes,20th Century Fox,Adventure,Remake,Live Action,Science Fiction,"$100,000,000","3,500","3,530","$68,532,960","$180,011,740","$291,637,334","$182,200,000","$362,211,740"
3,"May 4, 2001","May 4, 2001",The Mummy Returns,Universal,Adventure,Remake,Live Action,Fantasy,"$98,000,000","3,401","3,553","$68,139,035","$202,007,640","$327,280,922","$233,032,755","$435,040,395"
4,"Aug 3, 2001","Aug 3, 2001",Rush Hour 2,New Line,Action,Original Screenplay,Live Action,Contemporary Fiction,"$90,000,000","3,118","3,118","$67,408,222","$226,164,286","$366,418,106","$121,261,546","$347,425,832"
5,"Nov 2, 2001","Nov 2, 2001","Monsters, Inc.",Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$115,000,000","3,237","3,649","$62,577,067","$290,149,425","$453,322,801","$270,334,294","$560,483,719"
6,"May 25, 2001","May 25, 2001",Pearl Harbor,Walt Disney,Action,Based on Real Life Events,Live Action,Dramatization,"$151,500,000","3,214","3,255","$59,078,912","$198,539,855","$321,662,619","$250,699,998","$449,239,853"
7,"Feb 9, 2001","Feb 9, 2001",Hannibal,MGM,Horror,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$87,000,000","3,230","3,292","$58,003,121","$165,092,266","$267,472,797","$185,008,014","$350,100,280"
8,"Jul 18, 2001","Jul 18, 2001",Jurassic Park III,Universal,Action,Based on Fiction Book/Short Story,Animation/Live Action,Science Fiction,"$93,000,000","3,434","3,470","$50,771,645","$181,166,115","$293,514,708","$184,733,885","$365,900,000"
9,"Jun 15, 2001","Jun 15, 2001",Lara Croft: Tomb Raider,Paramount Pictures,Adventure,Based on Game,Live Action,Contemporary Fiction,"$94,000,000","3,308","3,349","$47,735,743","$131,144,183","$212,472,110","$142,186,002","$273,330,185"
10,"Dec 19, 2001","Dec 19, 2001",The Lord of the Rings: The Fellowship…,New Line,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$93,000,000","3,359","3,381","$47,211,490","$315,544,750","$506,312,233","$575,672,074","$891,216,824"
11,"Aug 10, 2001","Aug 10, 2001",American Pie 2,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$30,000,000","3,063","3,157","$45,117,985","$145,096,820","$235,077,352","$141,403,180","$286,500,000"
12,"May 18, 2001","May 18, 2001",Shrek,Dreamworks SKG,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,"$50,000,000","3,587","3,715","$42,347,760","$267,655,011","$433,638,947","$224,157,783","$491,812,794"
13,"Jun 22, 2001","Jun 22, 2001",The Fast and the Furious,Universal,Action,Based on Factual Book/Article,Live Action,Contemporary Fiction,"$38,000,000","2,628","2,905","$40,089,015","$144,512,310","$234,130,366","$61,946,062","$206,458,372"
14,"Dec 7, 2001","Dec 7, 2001",Ocean's Eleven,Warner Bros.,Thriller/Suspense,Remake,Live Action,Contemporary Fiction,"$85,000,000","3,075","3,075","$38,107,822","$183,417,150","$295,846,217","$267,311,379","$450,728,529"
15,"Jul 20, 2001","Jul 20, 2001",America's Sweethearts,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$46,000,000","3,011","3,011","$30,181,877","$93,607,673","$151,657,660","$67,040,820","$160,648,493"
16,"Jun 29, 2001","Jun 29, 2001",Artificial Intelligence: AI,Warner Bros.,Drama,Based on Fiction Book/Short Story,Animation/Live Action,Science Fiction,"$90,000,000","3,242","3,242","$29,352,630","$78,616,689","$127,370,145","$157,283,311","$235,900,000"
17,"Jan 12, 2001","Jan 12, 2001",Save the Last Dance,Paramount Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$13,000,000","2,230","2,570","$27,526,443","$91,038,276","$147,494,874","$31,206,053","$122,244,329"
18,"Mar 30, 2001","Mar 30, 2001",Spy Kids,Miramax/Dimension,Adventure,Original Screenplay,Live Action,Kids Fiction,"$35,000,000","3,104","3,191","$26,546,881","$112,692,062","$182,577,066","$85,000,000","$197,692,062"
19,"Jun 22, 2001","Jun 22, 2001",Dr. Dolittle 2,20th Century Fox,Adventure,Remake,Live Action,Kids Fiction,"$72,000,000","3,049","3,067","$25,037,039","$112,950,721","$182,996,126","$63,151,000","$176,101,721"
20,"Dec 14, 2001","Dec 14, 2001",Vanilla Sky,Paramount Pictures,Thriller/Suspense,Remake,Live Action,Contemporary Fiction,"$70,000,000","2,742","2,842","$25,015,518","$100,614,858","$162,193,183","$102,111,747","$202,726,605"
21,"Aug 3, 2001","Aug 3, 2001",The Princess Diaries,Walt Disney,Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$30,000,000","2,537","2,749","$22,862,269","$108,244,774","$175,371,005","$57,090,000","$165,334,774"
22,"Oct 5, 2001","Oct 5, 2001",Training Day,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$45,000,000","2,712","2,712","$22,550,788","$76,261,036","$123,553,655","$28,244,316","$104,505,352"
23,"Nov 9, 2001","Nov 9, 2001",Shallow Hal,20th Century Fox,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$40,000,000","2,770","2,803","$22,518,295","$70,836,296","$114,680,378",$0,"$70,836,296"
24,"Jul 4, 2001","Jul 4, 2001",Cats & Dogs,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$60,000,000","3,040","3,040","$21,707,617","$93,375,151","$151,280,938","$107,324,849","$200,700,000"
25,"Nov 21, 2001","Nov 21, 2001",Spy Game,Universal,Action,Original Screenplay,Live Action,Contemporary Fiction,"$90,000,000","2,770","2,770","$21,689,125","$62,362,560","$100,998,132","$80,687,000","$143,049,560"
26,"Jul 4, 2001","Jul 4, 2001",Scary Movie 2,Miramax/Dimension,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$45,000,000","3,220","3,220","$20,503,356","$71,277,420","$115,479,488","$69,911,681","$141,189,101"
27,"Jul 13, 2001","Jul 13, 2001",Legally Blonde,MGM,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$18,000,000","2,620","2,725","$20,377,426","$96,493,426","$156,332,984","$45,315,809","$141,809,235"
28,"Mar 2, 2001","Mar 2, 2001",The Mexican,Dreamworks SKG,Action,Original Screenplay,Live Action,Contemporary Fiction,"$40,000,000","2,951","3,162","$20,108,829","$66,808,615","$108,239,397","$78,429,635","$145,238,250"
29,"Feb 16, 2001","Feb 16, 2001",Down to Earth,Paramount Pictures,Comedy,Remake,Live Action,Contemporary Fiction,"$30,000,000","2,521","2,524","$20,027,309","$64,172,251","$103,968,112","$7,000,000","$71,172,251"
30,"Jun 1, 2001","Jun 1, 2001",The Animal,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$22,000,000","2,788","2,788","$19,610,520","$55,762,229","$90,342,684",$0,"$55,762,229"
31,"Nov 2, 2001","Nov 2, 2001",The One,Sony Pictures,Action,Original Screenplay,Live Action,Science Fiction,"$49,000,000","2,894","2,894","$19,112,404","$43,905,746","$71,133,506","$28,783,380","$72,689,126"
32,"Jul 13, 2001","Jul 13, 2001",The Score,Paramount Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$68,000,000","2,129","2,211","$19,018,807","$71,069,884","$115,143,252","$42,472,207","$113,542,091"
33,"Nov 30, 2001","Nov 30, 2001",Behind Enemy Lines,20th Century Fox,Action,Original Screenplay,Live Action,Historical Fiction,"$40,000,000","2,770","2,844","$18,736,133","$58,855,732","$95,139,254",$0,"$58,855,732"
34,"Mar 16, 2001","Mar 16, 2001",Exit Wounds,Warner Bros.,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$33,000,000","2,830","2,830","$18,485,586","$51,758,599","$83,856,239","$28,200,000","$79,958,599"
35,"Jun 8, 2001","Jun 8, 2001",Swordfish,Warner Bros.,Action,Original Screenplay,Live Action,Contemporary Fiction,"$80,000,000","2,678","2,688","$18,145,632","$69,772,969","$113,042,065","$77,307,444","$147,080,413"
36,"Aug 13, 2001","Aug 13, 2001",K-PAX,Universal,Drama,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$48,000,000","2,541","2,581","$17,215,275","$50,315,140","$81,517,632","$14,663,000","$64,978,140"
37,"Sep 28, 2001","Sep 28, 2001",Donâ€™t Say a Word,20th Century Fox,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$50,000,000","2,802","2,842","$17,090,474","$54,997,476","$89,101,708","$49,490,907","$104,488,383"
38,"Apr 6, 2001","Apr 6, 2001",Along Came a Spider,Paramount Pictures,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$28,000,000","2,530","2,573","$16,712,407","$74,058,698","$119,985,553","$31,100,387","$105,159,085"
39,"May 11, 2001","May 11, 2001",A Knightâ€™s Tale,Sony Pictures,Adventure,Original Screenplay,Live Action,Historical Fiction,"$41,000,000","2,980","2,980","$16,511,391","$56,083,966","$90,863,944","$44,538,620","$100,622,586"
40,"Sep 28, 2001","Sep 28, 2001",Zoolander,Paramount Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$28,000,000","2,507","2,522","$15,525,043","$45,172,250","$73,185,018","$15,608,731","$60,780,981"
41,"Oct 26, 2001","Oct 26, 2001",Thirteen Ghosts,Warner Bros.,Horror,Remake,Live Action,Fantasy,"$19,000,000","2,781","2,781","$15,165,355","$41,867,960","$67,832,012","$26,600,000","$68,467,960"
42,"Dec 25, 2001","Dec 25, 2001",Ali,Sony Pictures,Drama,Based on Real Life Events,Live Action,Dramatization,"$109,000,000","2,446","2,521","$14,710,892","$58,183,966","$93,901,653","$29,500,000","$87,683,966"
43,"Aug 10, 2001","Aug 10, 2001",The Others,Miramax,Horror,Original Screenplay,Live Action,Historical Fiction,"$17,000,000","1,678","2,843","$14,089,952","$96,522,687","$156,380,393","$111,242,369","$207,765,056"
44,"Nov 2, 2001","Nov 2, 2001",Domestic Disturbance,Paramount Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$53,000,000","2,910","2,910","$14,033,112","$45,207,112","$73,224,532","$9,000,000","$54,207,112"
45,"Dec 21, 2001","Dec 21, 2001",Jimmy Neutron: Boy Genius,Paramount Pictures,Adventure,Based on TV,Digital Animation,Kids Fiction,"$25,000,000","3,139","3,151","$13,832,786","$80,936,232","$130,350,248","$22,056,304","$102,992,536"
46,"Mar 16, 2001","Mar 16, 2001",Enemy at the Gates,Paramount Pictures,Drama,Based on Real Life Events,Live Action,Historical Fiction,"$85,000,000","1,509","1,724","$13,810,266","$51,396,781","$83,270,047","$45,574,512","$96,971,293"
47,"Jan 26, 2001","Jan 26, 2001",The Wedding Planner,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$28,000,000","2,785","2,785","$13,510,293","$60,400,856","$97,857,921","$34,327,673","$94,728,529"
48,"Feb 16, 2001","Feb 16, 2001",Recess: School's Out,Walt Disney,Adventure,Based on TV,Live Action,Kids Fiction,"$10,000,000","2,624","2,630","$13,455,016","$36,696,761","$59,453,933","$7,754,709","$44,451,470"
49,"Jun 8, 2001","Jun 8, 2001",Evolution,Dreamworks SKG,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$80,000,000","2,611","2,613","$13,408,351","$38,311,134","$62,069,447","$60,030,798","$98,341,932"
50,"Oct 5, 2001","Oct 5, 2001",Serendipity,Miramax,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$28,000,000","2,601","2,610","$13,309,241","$50,255,310","$81,420,705","$27,221,987","$77,477,297"
51,"Jul 6, 2001","Jul 6, 2001",Kiss of the Dragon,20th Century Fox,Action,Original Screenplay,Live Action,Contemporary Fiction,"$25,000,000","2,025","2,100","$13,304,027","$36,833,473","$59,675,426",$0,"$36,833,473"
52,"Aug 31, 2001","Aug 31, 2001",Jeepers Creepers,MGM,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$10,000,000","2,944","2,944","$13,106,108","$37,904,175","$61,410,115","$21,034,860","$58,939,035"
53,"Oct 12, 2001","Oct 12, 2001",Bandits,MGM,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$75,000,000","3,207","3,207","$13,050,700","$41,523,271","$67,269,855","$30,000,000","$71,523,271"
54,"Jun 1, 2001","Jun 1, 2001",What's the Worst That Could Happen?,MGM,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$30,000,000","2,675","2,675","$13,049,114","$32,267,774","$52,278,353","$6,194,297","$38,462,071"
55,"Dec 14, 2001","Dec 14, 2001",Not Another Teen Movie,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$15,000,000","2,365","2,365","$12,615,116","$37,882,551","$61,264,917","$24,518,792","$62,401,343"
56,"Apr 6, 2001","Apr 6, 2001",Blow,New Line,Drama,Based on Fiction Book/Short Story,Live Action,Dramatization,"$30,000,000","2,249","2,249","$12,443,461","$52,990,775","$85,852,539","$30,291,521","$83,282,296"
57,"Apr 27, 2001","Apr 27, 2001",Driven,Warner Bros.,Action,Original Screenplay,Live Action,Contemporary Fiction,"$72,000,000","2,905","2,905","$12,174,504","$32,616,869","$52,843,931","$22,000,000","$54,616,869"
