Opening Weekend Rank,Released,Worldwide Release,Title,"Theatrical
Distributor",Genre,Source,"Production
Method","Creative
Type","Production
Budget","Opening Weekend
Theaters","Maximum
Theaters","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
1,"Oct 19, 2020","Dec 6, 2019",Lupin III: The First (ãƒ«ãƒ‘ãƒ³ä¸‰ä¸–…,GKIDS,Adventure,Based on Comic/Graphic Novel,Digital Animation,Historical Fiction,$0,418,648,"$83,295","$248,422","$248,422","$7,297,356","$7,545,778"
2,"Mar 6, 2020","Sep 13, 2019",Extra Ordinary,Cranked Up Films,Horror,Original Screenplay,Live Action,Contemporary Fiction,$0,32,75,"$82,543","$164,346","$164,346","$59,367","$223,713"
3,"Mar 6, 2020","Mar 6, 2020",First Cow,A24,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,$0,4,4,"$81,323","$101,068","$101,068","$444,579","$545,647"
4,"Sep 18, 2020","Jul 17, 2020",Follow Me,Vertical Entertainment,Horror,Original Screenplay,Live Action,Contemporary Fiction,$0,45,50,"$79,182","$167,962","$167,962","$5,169,449","$5,337,411"
5,"Jan 31, 2020","Jan 31, 2020",The Assistant,Bleecker Street,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$1,780,000",4,167,"$79,141","$1,100,310","$1,100,310","$250,299","$1,350,609"
6,"Aug 21, 2020","Aug 21, 2020",Tulsa,Self Distributed,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,191,192,"$78,393","$413,522","$413,522",$0,"$413,522"
7,"Feb 7, 2020","Jan 16, 2020",The Lodge,Neon,Horror,Original Screenplay,Live Action,Contemporary Fiction,$0,6,395,"$76,251","$2,138,907","$2,138,907","$951,807","$3,090,714"
8,"Jan 31, 2020","Jan 31, 2020",Created Equal: Clarence Thomas in His…,Manifold Productions,Documentary,Based on Real Life Events,Live Action,Factual,$0,23,53,"$74,577","$282,149","$282,149",$0,"$282,149"
9,"Feb 14, 2020","Aug 16, 2019",Portrait de la jeune fille en feu,Neon,Drama,Original Screenplay,Live Action,Historical Fiction,"$5,400,000",2,334,"$67,344","$3,759,854","$3,759,854","$8,157,289","$11,917,143"
10,"May 1, 2020","May 1, 2020",The Wretched,IFC Midnight,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$66,000",12,101,"$65,908","$1,815,440","$1,815,440","$2,778,781","$4,594,221"
11,"Sep 18, 2020","Sep 18, 2020",The Nest,IFC Films,Drama,Original Screenplay,Live Action,Historical Fiction,$0,301,301,"$65,540","$137,852","$137,852","$1,624,263","$1,762,115"
12,"Nov 6, 2020","Oct 29, 2020",The Dark and The Wicked,RLJ Entertainment,Horror,Original Screenplay,Live Action,Contemporary Fiction,$0,68,68,"$60,379","$157,252","$157,252","$582,729","$739,981"
13,"Feb 7, 2020","Feb 7, 2020",Come to Daddy,Saban Films,Black Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,29,29,"$57,998","$96,713","$96,713","$23,641","$120,354"
14,"Feb 14, 2020","Feb 14, 2020",First Lady,ArtAffects,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,68,68,"$56,692","$89,885","$89,885",$0,"$89,885"
15,"Dec 11, 2020","Dec 10, 2020",Archenemy,RLJ Entertainment,Action,Original Screenplay,Live Action,Contemporary Fiction,$0,94,94,"$53,678","$121,642","$121,642",$892,"$122,534"
16,"Aug 14, 2020","Aug 14, 2020",The Silencing,Saban Films,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,$0,79,79,"$53,205","$100,746","$100,746","$69,907","$170,653"
17,"Jul 10, 2020","Jul 10, 2020",Archive,Vertical Entertainment,,Original Screenplay,Live Action,Science Fiction,$0,26,26,"$52,642","$139,593","$139,593","$104,496","$244,089"
18,"Mar 13, 2020","Feb 28, 2020",Miss Fisher & The Crypt Of Tears,Acorn TV,Adventure,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,$0,18,18,"$51,032","$51,032","$51,032","$2,337,553","$2,388,585"
19,"Aug 14, 2020","Aug 14, 2020",Murder in the Woods,Rezinate Entertainment,Horror,Original Screenplay,Live Action,Contemporary Fiction,$0,25,38,"$48,638","$351,205","$351,205","$21,418","$372,623"
20,"Feb 21, 2020","Jan 10, 2020",Seberg,Amazon Studios,Thriller/Suspense,Based on Real Life Events,Live Action,Dramatization,"$8,000,000",3,373,"$47,180","$448,009","$448,009","$817,110","$1,265,119"
21,"Aug 21, 2020","Aug 21, 2020",Tesla,IFC Films,Drama,Based on Real Life Events,Live Action,Dramatization,$0,108,108,"$42,165","$93,147","$93,147","$285,963","$379,110"
22,"Feb 14, 2020","Feb 14, 2020",The Times of Bill Cunningham,Greenwich,Documentary,Based on Real Life Events,Live Action,Factual,$0,2,19,"$41,945","$134,288","$134,288",$0,"$134,288"
23,"Dec 15, 2020","Dec 15, 2020",Shadow in the Cloud,Vertical Entertainment,Action,Original Screenplay,Live Action,Historical Fiction,$0,70,107,"$39,117","$156,932","$156,932","$903,806","$1,060,738"
24,"Feb 21, 2020","Feb 21, 2020",Once Were Brothers: Robbie Robertson …,Magnolia Pictures,Documentary,Based on Real Life Events,Live Action,Factual,$0,4,152,"$37,828","$449,561","$449,561","$106,759","$556,320"
25,"Oct 2, 2020","Oct 2, 2020",A Call to Spy,IFC Films,Drama,Based on Real Life Events,Live Action,Dramatization,$0,75,79,"$35,098","$159,014","$159,014","$684,444","$843,458"
26,"Dec 25, 2020","Dec 24, 2020",Solo Brathuke So Better,Zee Studios,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,25,25,"$35,000","$35,000","$35,000","$84,169","$119,169"
27,"Aug 7, 2020","Aug 7, 2020",Made in Italy,IFC Films,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,111,111,"$33,998","$101,339","$101,339","$2,624,680","$2,726,019"
28,"Sep 1, 2020","Jun 7, 2019",KaijÃ» no kodomo,GKIDS,Adventure,Based on Comic/Graphic Novel,Digital Animation,Fantasy,$0,633,633,"$33,517","$81,237","$81,237","$5,347,213","$5,428,450"
29,"Jun 19, 2020","Nov 15, 2019",StarDog and TurboCat,Vivafilm,Adventure,Original Screenplay,Digital Animation,Kids Fiction,$0,6,6,"$31,305","$80,496","$80,496","$950,117","$1,030,613"
30,"Jul 3, 2020","Jul 3, 2020",The Outpost,Screen Media Films,Action,Based on Factual Book/Article,Live Action,Dramatization,$0,74,81,"$31,042","$186,634","$186,634","$1,913,019","$2,099,653"
31,"Mar 6, 2020","Oct 3, 2019",Hope Gap,Roadside Attractions,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,18,132,"$30,978","$104,732","$104,732","$1,293,333","$1,398,065"
32,"Apr 10, 2020","Apr 10, 2020",We Summon the Darkness,Saban Films,Horror,Original Screenplay,Live Action,Contemporary Fiction,$0,10,10,"$30,232","$60,794","$60,794","$120,913","$181,707"
33,"Jul 31, 2020","Jun 24, 2020",Summerland,IFC Films,Drama,Original Screenplay,Live Action,Historical Fiction,"$1,100,000",99,99,"$28,881","$58,434","$58,434","$1,356,162","$1,414,596"
34,"Jan 12, 2020","Jan 12, 2020",VHYes,Oscilloscope Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,22,22,"$28,000","$47,037","$47,037",$0,"$47,037"
35,"Feb 28, 2020","Feb 28, 2020",Wendy,Searchlight Pictures,Drama,Original Screenplay,Live Action,Fantasy,$0,4,165,"$26,214","$143,518","$143,518","$123,606","$267,124"
36,"Sep 18, 2020","Sep 18, 2020",The Way I See it,Focus Features,Documentary,Based on Factual Book/Article,Live Action,Factual,$0,124,124,"$25,150","$49,030","$49,030",$0,"$49,030"
37,"Dec 25, 2020","Dec 25, 2020",The Dissident,Briarcliff Entertainment,Documentary,Based on Real Life Events,Live Action,Factual,$0,160,160,"$25,000","$57,000","$57,000","$54,698","$111,698"
38,"Oct 9, 2020","Oct 9, 2020",Pray: The Story of Patrick Peyton,ArtAffects,Documentary,Based on Real Life Events,Live Action,Factual,$0,44,51,"$24,397","$72,347","$72,347",$0,"$72,347"
39,"Feb 28, 2020","Feb 21, 2020",Greed,Sony Pictures Classics,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,4,596,"$24,163","$355,308","$355,308","$1,075,674","$1,430,982"
40,"Jan 10, 2020","Aug 30, 2019",Les misÃ©rables,Amazon Studios,Drama,Based on Real Life Events,Live Action,Dramatization,$0,4,69,"$24,154","$330,181","$330,181","$18,519,566","$18,849,747"
41,"Feb 14, 2020","Dec 6, 2019",Ordinary Love,Bleecker Street,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,3,125,"$23,564","$323,688","$323,688","$376,138","$699,826"
42,"Jan 31, 2020","May 23, 2019",Il Traditore,Sony Pictures Classics,Drama,Based on Real Life Events,Live Action,Dramatization,$0,3,45,"$23,240","$296,027","$296,027","$8,654,919","$8,950,946"
43,"Jan 31, 2020","Sep 26, 2019",Incitement,Greenwich,Thriller/Suspense,Based on Real Life Events,Live Action,Dramatization,$0,2,21,"$22,437","$140,306","$140,306","$2,884","$143,190"
44,"Feb 14, 2020","Feb 14, 2020",Fei Long Guo Jiang,Well Go USA,Action,Original Screenplay,Live Action,Contemporary Fiction,$0,11,11,"$22,193","$46,855","$46,855",$0,"$46,855"
