Opening Weekend Rank,Released,Worldwide Release,Title,"Theatrical
Distributor",Genre,Source,"Production
Method","Creative
Type","Production
Budget","Opening Weekend
Theaters","Maximum
Theaters","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
1,"Dec 21, 2018","Dec 7, 2018",Second Act,STX Entertainment,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$15,700,000","2,607","2,607","$6,489,983","$39,282,227","$39,505,286","$24,006,627","$63,288,854"
2,"Nov 30, 2018","Nov 28, 2018",The Possession of Hannah Grace,Sony Pictures,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$6,000,000","2,065","2,298","$6,401,744","$14,836,174","$14,933,033","$28,037,556","$42,873,730"
3,"May 18, 2018","May 11, 2018",Show Dogs,Global Road,Comedy,Original Screenplay,Animation/Live Action,Contemporary Fiction,"$5,500,000","3,212","3,212","$6,023,972","$17,744,685","$17,861,546","$22,270,313","$40,014,998"
4,"Aug 29, 2018","Aug 29, 2018",Operation Finale,MGM,Drama,Based on Real Life Events,Live Action,Dramatization,"$20,000,000","1,818","1,818","$6,022,758","$17,612,099","$17,728,095",$0,"$17,612,099"
5,"Aug 3, 2018","Aug 3, 2018",The Darkest Minds,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$34,000,000","3,127","3,127","$5,842,609","$12,695,691","$12,779,303","$25,665,737","$38,361,428"
6,"Apr 6, 2018","Apr 6, 2018",Chappaquiddick,Entertainment Studios Motion Pictures,Drama,Based on Real Life Events,Live Action,Dramatization,$0,"1,560","1,645","$5,765,854","$17,395,521","$17,510,087","$752,570","$18,148,091"
7,"Mar 23, 2018","Mar 22, 2018","Paul, Apostle of Christ",Sony Pictures,Drama,Based on Religious Text,Live Action,Dramatization,"$5,000,000","1,473","1,746","$5,172,585","$17,547,999","$17,663,566","$8,530,501","$26,078,500"
8,"Sep 28, 2018","Sep 27, 2018",Hell Fest,CBS Films,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$5,500,000","2,297","2,297","$5,130,963","$11,107,431","$11,180,587","$7,187,452","$18,294,883"
9,"Jun 1, 2018","Jun 1, 2018",Upgrade,BH Tilt,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$3,000,000","1,457","1,458","$4,670,905","$11,977,130","$12,056,010","$4,999,431","$16,976,561"
10,"Jan 25, 2018","Jan 19, 2018",Padmavati,Paramount Pictures,Drama,Based on Folk Tale/Legend/Fairytale,Live Action,Historical Fiction,$0,326,354,"$4,493,384","$11,846,060","$11,924,072","$62,784,891","$74,630,951"
11,"Jan 19, 2018","Jan 19, 2018",Forever My Girl,Roadside Attractions,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$3,500,000","1,114","1,427","$4,245,630","$16,376,066","$16,483,919",$0,"$16,376,066"
12,"Mar 23, 2018","Mar 22, 2018",Midnight Sun,Global Road,Drama,Remake,Live Action,Contemporary Fiction,"$2,800,000","2,173","2,173","$4,003,993","$9,561,064","$9,624,034","$17,391,444","$26,952,508"
