Opening Weekend Rank,Released,Worldwide Release,Title,"Theatrical
Distributor",Genre,Source,"Production
Method","Creative
Type","Production
Budget","Opening Weekend
Theaters","Maximum
Theaters","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
1,"Jul 2, 1996","Jul 2, 1996",Independence Day,20th Century Fox,Adventure,Original Screenplay,Live Action,Science Fiction,"$75,000,000","2,882","2,977","$50,228,264","$306,169,255","$635,197,299","$511,231,623","$817,400,878"
2,"May 21, 1996","May 21, 1996",Mission: Impossible,Paramount Pictures,Action,Based on TV,Live Action,Contemporary Fiction,"$80,000,000","3,012","3,012","$45,436,830","$180,981,886","$375,475,994","$276,716,108","$457,697,994"
3,"May 10, 1996","May 10, 1996",Twister,Warner Bros.,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$88,000,000","2,414","2,808","$41,059,405","$241,688,385","$501,421,377","$254,011,615","$495,700,000"
4,"Nov 8, 1996","Nov 8, 1996",Ransom,Walt Disney,Action,Original Screenplay,Live Action,Contemporary Fiction,"$70,000,000","2,676","2,768","$34,216,088","$136,492,681","$282,614,201","$172,207,319","$308,700,000"
5,"Nov 27, 1996","Nov 27, 1996",101 Dalmatians,Walt Disney,Adventure,Based on Fiction Book/Short Story,Live Action,Kids Fiction,$0,"2,794","2,901","$33,504,025","$136,189,294","$281,440,569","$168,010,706","$304,200,000"
6,"Nov 22, 1996","Nov 22, 1996",Star Trek: First Contact,Paramount Pictures,Adventure,Based on TV,Live Action,Science Fiction,"$46,000,000","2,812","2,812","$30,716,131","$92,027,888","$190,708,389","$57,972,112","$150,000,000"
7,"Nov 15, 1996","Nov 15, 1996",Space Jam,Warner Bros.,Adventure,Original Screenplay,Animation/Live Action,Kids Fiction,"$80,000,000","2,650","2,650","$27,528,529","$90,463,534","$187,295,297","$159,716,850","$250,180,384"
8,"Jun 28, 1996","Jun 28, 1996",The Nutty Professor,Universal,Comedy,Remake,Live Action,Kids Fiction,"$55,000,000","2,115","2,239","$25,411,725","$128,814,019","$267,245,372","$145,000,000","$273,814,019"
9,"Jun 7, 1996","Jun 7, 1996",The Rock,Walt Disney,Action,Original Screenplay,Live Action,Contemporary Fiction,"$75,000,000","2,392","2,426","$25,069,525","$134,069,511","$278,148,732","$202,000,000","$336,069,511"
10,"Jun 21, 1996","Jun 21, 1996",Eraser,Warner Bros.,Action,Original Screenplay,Live Action,Contemporary Fiction,"$100,000,000","2,410","2,556","$24,566,446","$101,295,562","$210,153,906","$133,104,438","$234,400,000"
