Opening Weekend Rank,Released,Worldwide Release,Title,"Theatrical
Distributor",Genre,Source,"Production
Method","Creative
Type","Production
Budget","Opening Weekend
Theaters","Maximum
Theaters","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
1,"Sep 20, 2002","Sep 20, 2002",Invincible,,,,,,$0,4,9,"$14,293","$80,636","$127,261",$0,"$80,636"
2,"Sep 4, 2002","Sep 4, 2002",Snipes,,Action,,Live Action,,$0,6,6,"$14,027","$66,339","$104,703",$0,"$66,339"
3,"Apr 12, 2002","Apr 12, 2002",For Da Love of Money,,,,,,$0,11,11,"$14,000","$27,500","$43,402",$0,"$27,500"
4,"Nov 8, 2002","Nov 8, 2002","God is Great, I'm Not",,Comedy,,,,$0,1,1,"$13,850","$65,464","$103,318",$0,"$65,464"
5,"Dec 20, 2002","Dec 20, 2002",Morvern Callar,,,,,,"$6,000,000",3,8,"$13,836","$267,194","$409,560",$0,"$267,194"
6,"Mar 15, 2002","Mar 15, 2002",Pauline and Paulette,,,,,,$0,5,12,"$13,527","$139,493","$220,163",$0,"$139,493"
7,"Mar 29, 2002","Mar 29, 2002",Very Annie-Mary,,Musical,Original Screenplay,Live Action,Contemporary Fiction,$0,6,6,"$13,430","$35,384","$55,845","$38,618","$74,002"
8,"Sep 27, 2002","Sep 27, 2002",Crazy as Hell,,,,,,$0,7,7,"$13,341","$20,710","$32,682",$0,"$20,710"
9,"Jun 28, 2002","Jun 28, 2002",Notorious C.H.O.,WellSpring,Concert/Performance,Based on Real Life Events,Live Action,Factual,$0,1,26,"$13,188","$1,033,395","$1,631,013",$0,"$1,033,395"
10,"Nov 1, 2002","Oct 3, 1947",Quai des Orfevres,,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,$0,1,2,"$13,139","$162,761","$244,133",$0,"$162,761"
11,"Feb 1, 2002","Feb 1, 2002",Taliesin Jones,,Drama,,,,$0,7,7,"$12,899","$75,717","$119,503",$0,"$75,717"
12,"Jul 5, 2002","Jul 5, 2002",Me Without You,,,,,,$0,1,13,"$12,816","$301,175","$475,345",$0,"$301,175"
13,"Feb 22, 2002","Feb 22, 2002",The Cherry Orchard,,Drama,Based on Play,Live Action,Historical Fiction,$0,2,4,"$12,738","$131,188","$207,049",$0,"$131,188"
14,"May 10, 2002","May 10, 2002",The Business of Fancy Dancing,Outrider Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$200,000",1,6,"$12,709","$174,682","$275,696",$0,"$174,682"
15,"Feb 22, 2002","Feb 22, 2002",Sex with Strangers,,Documentary,Based on Real Life Events,Live Action,Factual,"$1,100,000",1,7,"$11,478","$247,740","$391,009",$0,"$247,740"
16,"Oct 23, 2002","Oct 23, 2002",Derrida,,,,,,$0,1,6,"$11,473","$156,450","$244,536",$0,"$156,450"
17,"Sep 20, 2002","Sep 20, 2002",The Mesmerist,,Comedy,,Live Action,,$0,1,1,"$11,422","$11,422","$18,019",$0,"$11,422"
18,"May 24, 2002","May 24, 2002",Bartleby,Outrider Pictures,Comedy,Based on Fiction Book/Short Story,Live Action,,$0,2,9,"$11,376","$141,367","$223,115",$0,"$141,367"
19,"Mar 1, 2002","Mar 1, 2002",Borstal Boy,Strand,Drama,Based on Fiction Book/Short Story,Live Action,,$0,2,7,"$11,164","$87,074","$137,422",$0,"$87,074"
20,"Mar 15, 2002","Mar 15, 2002",Promises,,Documentary,Based on Real Life Events,Live Action,Factual,$0,2,6,"$11,138","$243,769","$384,737",$0,"$243,769"
21,"Nov 22, 2002","Nov 22, 2002",O Fantasma,,Drama,,,,$0,1,1,"$10,953","$125,651","$194,184",$0,"$125,651"
22,"Jul 26, 2002","Jul 26, 2002",I am Trying to Break Your Heart,,,,,,$0,1,13,"$10,776","$445,521","$701,973",$0,"$445,521"
23,"Sep 27, 2002","Sep 27, 2002",Shanghai Ghetto,Menemsha Entertainment,Documentary,Based on Real Life Events,Live Action,Factual,$0,1,13,"$10,356","$712,446","$1,085,104",$0,"$712,446"
24,"Feb 22, 2002","Feb 22, 2002",Maryam,,,,,,$0,1,3,"$10,123","$129,265","$204,014",$0,"$129,265"
25,"Jul 17, 2002","Jul 17, 2002","Langrishe, Go Down",,Drama,,,,$0,1,1,"$10,041","$66,288","$104,621",$0,"$66,288"
26,"Apr 5, 2002","Apr 5, 2002",Swimming,,Drama,,,,$0,1,7,"$10,019","$161,483","$254,862",$0,"$161,483"
27,"Apr 19, 2002","Apr 19, 2002",Chelsea Walls,Lionsgate,Drama,Based on Play,Live Action,Contemporary Fiction,$0,3,6,"$10,003","$59,675","$94,185",$0,"$59,675"
28,"Aug 30, 2002","Aug 30, 2002",Love and a Bullet,Sony Pictures,,,,,$0,14,14,"$9,994","$16,853","$26,593",$0,"$16,853"
29,"Aug 23, 2002","Aug 23, 2002",Amy's Orgasm,Magic Lamp,Romantic Comedy,Original Screenplay,Live Action,,$0,1,8,"$9,750","$119,664","$188,865",$0,"$119,664"
30,"May 29, 2002","May 29, 2002",Elling,,Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$2,100,000",2,19,"$9,606","$313,436","$494,694","$85,601","$399,037"
31,"Nov 22, 2002","Nov 22, 2002",Power & Terror: Noam Chomsky in Our T…,,Documentary,,,Factual,$0,1,4,"$9,442","$291,789","$446,671",$0,"$291,789"
32,"Apr 5, 2002","Apr 5, 2002",Komediant,,,,,,$0,2,2,"$9,435","$119,377","$185,729",$0,"$119,377"
33,"Apr 26, 2002","Apr 26, 2002",Vulgar,,,,,,$0,2,2,"$9,377","$14,904","$23,521",$0,"$14,904"
34,"Jun 7, 2002","Jun 7, 2002",Ivan's XTC,,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,$0,2,2,"$9,121","$47,027","$74,222",$0,"$47,027"
35,"Jun 28, 2002","Jun 28, 2002",War Photographer,,,,,,$0,1,1,"$8,986","$34,293","$54,121",$0,"$34,293"
36,"May 17, 2002","May 17, 2002",Harvard Man,,Drama,,Live Action,,"$5,500,000",1,4,"$8,425","$56,653","$89,408",$0,"$56,653"
37,"Apr 19, 2002","Apr 19, 2002",Divorce: The Musical,,,,,,$0,1,1,"$8,332","$23,144","$36,524",$0,"$23,144"
38,"Apr 5, 2002","Apr 5, 2002",John Sayles Retrospective,,,,,,$0,3,3,"$8,258","$8,258","$13,031",$0,"$8,258"
39,"Sep 13, 2002","Sep 13, 2002",Les enfants du siÃ¨cle,Empire Pictures,Drama,Based on Real Life Events,Live Action,Dramatization,$0,2,4,"$8,044","$36,087","$56,955",$0,"$36,087"
40,"Oct 4, 2002","Oct 4, 2002",Pipe Dream,,,,,,$0,3,3,"$7,998","$7,998","$12,618",$0,"$7,998"
41,"Sep 13, 2002","Sep 13, 2002",Quitting,,,,,,$0,5,6,"$7,908","$17,717","$27,959",$0,"$17,717"
42,"Jul 19, 2002","Jul 19, 2002",What to Do in Case of Fire,Sony Pictures,,,,,$0,3,3,"$7,874","$7,874","$12,425",$0,"$7,874"
43,"Apr 5, 2002","Aug 24, 2001",Lucky Break,Paramount Pictures,Comedy,Based on Play,Live Action,Contemporary Fiction,"$6,000,000",6,31,"$7,495","$54,606","$86,180","$4,261,891","$4,316,497"
44,"Aug 23, 2002","Aug 23, 2002",How I Killed My Father,,,,,,$0,3,5,"$7,480","$145,396","$228,425",$0,"$145,396"
45,"Jun 14, 2002","Jun 14, 2002",The Emperor's New Clothes,Paramount Vantage,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,$0,2,41,"$7,474","$661,903","$1,044,683","$27,508","$689,411"
46,"Mar 22, 2002","Mar 22, 2002",Margarita Happy Hour,,,,,,$0,1,1,"$7,423","$10,668","$16,836",$0,"$10,668"
47,"Dec 13, 2002","Dec 13, 2002",Intacto,,Drama,Original Screenplay,Live Action,Fantasy,$0,1,31,"$7,362","$302,675","$465,038","$495,050","$797,725"
48,"Sep 27, 2002","Sep 27, 2002",Just a Kiss,,,,,,$0,5,21,"$7,239","$64,197","$101,319",$0,"$64,197"
49,"Mar 1, 2002","Mar 1, 2002",The Calling,Testimony Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$160,000",1,10,"$7,000","$32,092","$50,297",$0,"$32,092"
50,"Oct 11, 2002","Oct 11, 2002",Safe Conduct,,,,,,$0,2,3,"$6,811","$26,617","$42,008",$0,"$26,617"
51,"Aug 9, 2002","Aug 9, 2002",Buddha Heads,Pathfinder,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,1,1,"$6,739","$6,739","$10,628",$0,"$6,739"
52,"Nov 1, 2002","Nov 1, 2002",Love in the Time of Money,,,,,,$0,4,4,"$6,259","$6,259","$9,876",$0,"$6,259"
53,"Nov 8, 2002","Sep 11, 1974",The Phantom of Liberty,,Comedy,,,,$0,1,1,"$6,172","$6,172","$9,739",$515,"$6,687"
54,"May 29, 2002","May 29, 2002",The Next Big Thing,,Comedy,Original Screenplay,Live Action,,$0,3,3,"$5,869","$9,763","$15,406",$0,"$9,763"
55,"Dec 6, 2002","Dec 6, 2002","Massoud, the Afghan",,Documentary,,,,$0,1,1,"$5,859","$26,747","$41,008",$0,"$26,747"
56,"Jun 28, 2002","Jun 28, 2002",A Song for Martin,,,,,,$0,2,2,"$5,755","$27,983","$44,163",$0,"$27,983"
57,"Jul 12, 2002","Jul 12, 2002",Tosca,,,,,,$0,2,2,"$5,601","$63,751","$100,054",$0,"$63,751"
58,"Apr 26, 2002","Apr 26, 2002",Night at the Golden Eagle,,,,,,$0,3,3,"$5,525","$16,241","$25,630",$0,"$16,241"
59,"Jun 14, 2002","Jun 14, 2002",Gangster No. 1,IFC Films,Thriller/Suspense,Original Screenplay,Live Action,Historical Fiction,$0,1,1,"$5,514","$30,915","$48,784",$0,"$30,915"
60,"May 3, 2002","May 3, 2002",Fleeing by Night,,,,,,$0,2,2,"$5,363","$16,063","$25,346",$0,"$16,063"
61,"Nov 8, 2002","Nov 8, 2002",Hush,,,,,,$0,2,2,"$5,322","$21,278","$32,966",$0,"$21,278"
62,"Feb 22, 2002","Feb 22, 2002",Big Bad Love,IFC Films,Drama,Based on Fiction Book/Short Story,Live Action,,$0,1,10,"$5,293","$104,294","$164,602",$0,"$104,294"
63,"Apr 19, 2002","Apr 19, 2002",Girls Can't Swim,,,,,,$0,1,2,"$5,238","$68,460","$108,050",$0,"$68,460"
64,"Mar 1, 2002","Mar 1, 2002",Esther Kahn,,,,,,$0,1,1,"$5,124","$9,033","$14,250",$0,"$9,033"
65,"Mar 8, 2002","Mar 8, 2002",The Wetonkawa Flash,Indican Pictures,Comedy,Original Screenplay,Live Action,,$0,1,1,"$5,030","$5,030","$7,932",$0,"$5,030"
66,"Jan 25, 2002","Jan 25, 2002",The Son's Room,Miramax,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,1,26,"$4,887","$1,014,416","$1,601,064","$10,700,000","$11,714,416"
67,"Nov 15, 2002","Nov 15, 2002",Revolution#9,,Thriller/Suspense,,Live Action,,"$350,000",1,1,"$4,800","$9,118","$14,388",$0,"$9,118"
68,"Sep 13, 2002","Sep 13, 2002",The Dogwalker,Outrider Pictures,,,,,$0,1,12,"$4,726","$6,751","$10,646",$0,"$6,751"
69,"May 17, 2002","May 17, 2002",A Skin Too Few: The Days of Nick Drake,,Documentary,,,Factual,$0,1,1,"$4,684","$17,384","$27,437",$0,"$17,384"
70,"Aug 9, 2002","Aug 9, 2002",Scarlet Diva,,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,1,1,"$4,547","$18,062","$28,500",$0,"$18,062"
71,"Aug 23, 2002","Aug 23, 2002",The Isle,,Drama,,,,$0,1,2,"$4,546","$21,075","$33,260",$0,"$21,075"
72,"Apr 26, 2002","Apr 26, 2002",Lansdown,Outrider Pictures,,,,,$0,1,2,"$4,323","$12,614","$19,908",$0,"$12,614"
73,"May 10, 2002","May 10, 2002",Janice Beard,,,,,,$0,3,4,"$4,248","$11,756","$18,551",$0,"$11,756"
74,"Mar 29, 2002","Mar 29, 2002",Drift,,,,,,$0,1,1,"$4,132","$41,320","$65,208",$0,"$41,320"
75,"Apr 12, 2002","Apr 12, 2002",Outta Time,,Action,Original Screenplay,Live Action,Contemporary Fiction,$0,11,11,"$4,052","$4,052","$6,391",$0,"$4,052"
76,"May 3, 2002","May 3, 2002",Warm Water Under a Red Bridge,,,,,,$0,1,4,"$3,842","$62,044","$97,917",$0,"$62,044"
77,"May 3, 2002","May 3, 2002",Home Movie,,,,,,$0,1,4,"$3,803","$118,022","$186,270",$0,"$118,022"
78,"Oct 25, 2002","Oct 25, 2002",Food of Love,,,,,,$0,1,4,"$3,692","$43,922","$66,996",$0,"$43,922"
79,"Aug 22, 2002","Aug 22, 2002",Revolution O/S,,,,,,$0,1,1,"$3,500","$3,500","$5,520",$0,"$3,500"
80,"Jul 12, 2002","Jul 12, 2002",Last Dance,,,,,,$0,1,1,"$3,477","$14,781","$23,072",$0,"$14,781"
81,"May 31, 2002","May 31, 2002",Nijinsky,,,,,,$0,1,3,"$3,393","$55,068","$86,913",$0,"$55,068"
82,"Jun 7, 2002","Jun 7, 2002",30 Years to Life,,Comedy,Original Screenplay,Live Action,,$0,1,6,"$3,376","$99,023","$151,314",$0,"$99,023"
83,"Nov 22, 2002","Nov 22, 2002","The Bread, My Sweet",Panorama Entertainment,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,2,8,"$3,376","$1,023,156","$1,571,821",$0,"$1,023,156"
84,"Dec 18, 2002","Dec 18, 2002",Devils on the Doorstep,,,,,,$0,1,1,"$3,227","$18,944","$29,784",$0,"$18,944"
85,"Mar 15, 2002","Mar 15, 2002",Yellow Asphalt,,,,,,$0,1,1,"$3,138","$8,172","$12,893",$0,"$8,172"
86,"Oct 18, 2002","Oct 18, 2002",Take Care of My Cat,,Drama,Original Screenplay,Live Action,,$0,2,2,"$3,137","$9,171","$14,113","$55,962","$65,133"
87,"Dec 20, 2002","Dec 20, 2002",Smokers Only,,Drama,Original Screenplay,Live Action,,$0,1,1,"$3,102","$11,752","$18,267",$0,"$11,752"
88,"Jul 12, 2002","Jul 12, 2002",Riri Shushu no subete,Cowboy Pictures,Drama,Original Screenplay,Live Action,,$0,1,1,"$3,064","$24,846","$38,340","$52,641","$77,487"
89,"Mar 29, 2002","Mar 29, 2002",Teddy Bears' Picnic,,,,,,$0,1,3,"$3,057","$28,043","$44,254",$0,"$28,043"
90,"Jan 16, 2002","Jan 16, 2002",The Farewell,,Drama,Based on Real Life Events,,Dramatization,$0,1,1,"$3,016","$10,952","$17,285",$0,"$10,952"
91,"Oct 11, 2002","Oct 11, 2002",Ash Wednesday,Focus Features,Drama,Original Screenplay,Live Action,,$0,2,2,"$2,942","$2,942","$4,640","$149,457","$152,399"
92,"Dec 6, 2002","Dec 6, 2002",My Kingdom,,,,,,$0,1,1,"$2,607","$2,607","$4,108",$0,"$2,607"
93,"Apr 12, 2002","Apr 12, 2002",Mule Skinner Blues,,,,,,$0,1,2,"$2,553","$10,106","$15,947",$0,"$10,106"
94,"Jun 28, 2002","Jun 28, 2002",The First $20 Million,20th Century Fox,,,,,$0,2,2,"$2,535","$2,535","$3,998",$0,"$2,535"
95,"May 17, 2002","May 17, 2002",Standing by Yourself,,,,,,$0,1,1,"$2,200","$2,500","$3,943",$0,"$2,500"
96,"Nov 22, 2002","Nov 22, 2002",The 4th Tenor,,Comedy,Original Screenplay,Live Action,,$0,2,2,"$2,152","$2,152","$3,393",$0,"$2,152"
97,"Aug 9, 2002","Aug 9, 2002",Stripped,,,,,,$0,1,1,"$2,151","$2,151","$3,393",$0,"$2,151"
98,"Apr 26, 2002","Apr 26, 2002",Some Body,,,,,,$0,1,3,"$2,042","$11,696","$18,459",$0,"$11,696"
99,"Jul 12, 2002","Jul 12, 2002",Choice of Weapons,Outrider Pictures,,,Live Action,,$0,1,1,"$2,032","$2,032","$3,200",$0,"$2,032"
100,"Jul 19, 2002","Jul 19, 2002",Ayurveda: Art of Being,Kino International,Documentary,,Live Action,Factual,"$300,000",1,2,"$1,938","$16,892","$26,657","$2,050,000","$2,066,892"
