Opening Weekend Rank,Released,Worldwide Release,Title,"Theatrical
Distributor",Genre,Source,"Production
Method","Creative
Type","Production
Budget","Opening Weekend
Theaters","Maximum
Theaters","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
1,"Mar 4, 2016","Jul 10, 2015",Bakemono no ko,FUNimation,Adventure,Original Screenplay,Hand Animation,Fantasy,$0,122,123,"$274,247","$490,643","$520,132","$49,281,542","$49,772,185"
2,"Jun 10, 2016","Jun 10, 2016",Te3n,Reliance Entertainment,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,$0,104,104,"$258,066","$331,507","$351,431","$104,900","$436,407"
3,"Nov 18, 2016","Nov 17, 2016",Manchester by the Sea,Roadside Attractions,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$8,500,000",4,"1,213","$256,498","$47,695,371","$49,835,539","$30,038,496","$77,733,867"
4,"Oct 7, 2016","Oct 7, 2016",Voiceless,ArtAffects,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,100,100,"$250,000","$419,952","$445,194",$0,"$419,952"
5,"Apr 29, 2016","Apr 29, 2016",Baaghi,UTV Communications,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,78,78,"$237,215","$438,207","$464,543","$276,523","$714,730"
6,"Dec 9, 2016","Dec 9, 2016",The Bounce Back,Viva Entertainment,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$3,000,000",615,615,"$227,354","$321,910","$341,262","$99,494","$421,404"
7,"Apr 29, 2016","Apr 29, 2016",A Beautiful Planet,Walt Disney,Documentary,Based on Real Life Events,Live Action,Factual,$0,137,155,"$223,983","$15,650,615","$16,591,455","$9,975,192","$25,625,807"
8,"Apr 1, 2016","Mar 31, 2016",Chongqing Hot Pot,China Lion Film Distribution,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,20,46,"$201,960","$776,649","$823,338","$57,604,301","$58,380,950"
9,"Mar 18, 2016","Feb 18, 2016",Midnight Special,Warner Bros.,Drama,Original Screenplay,Live Action,Science Fiction,"$18,000,000",5,521,"$190,012","$3,712,282","$3,935,452","$3,967,968","$7,680,250"
10,"Sep 23, 2016","Oct 30, 2015",The Dressmaker,Broad Green Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$11,900,000",36,174,"$185,165","$2,022,115","$2,143,671","$22,352,794","$24,374,909"
11,"Nov 18, 2016","Nov 11, 2016",I Am not Madame Bovary,Well Go USA,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,$0,38,38,"$181,552","$436,798","$463,021","$70,403,856","$70,840,654"
12,"Apr 22, 2016","Apr 22, 2016",Unsullied,Indican Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$1,500,000",102,102,"$179,112","$510,957","$541,672",$0,"$510,957"
13,"Aug 26, 2016","Jul 28, 2016",Tunnel,Well Go USA,Action,Original Screenplay,Live Action,Contemporary Fiction,$0,36,36,"$172,521","$568,876","$603,074","$71,891,456","$72,460,332"
14,"Feb 5, 2016","Feb 4, 2016",Xi You Ji zhi Sun Wu Kong San Da Bai …,China Lion Film Distribution,Action,Based on Fiction Book/Short Story,Live Action,Fantasy,"$60,000,000",38,38,"$166,391","$709,982","$752,655","$193,348,521","$194,058,503"
15,"Sep 23, 2016","Aug 25, 2016",The Age of Shadows (ë°€ì •),CJ Entertainment,Action,Original Screenplay,Live Action,Historical Fiction,"$8,600,000",33,33,"$165,685","$540,268","$572,740","$53,959,901","$54,500,169"
16,"Dec 21, 2016","Dec 21, 2016",Patriots Day,Lionsgate,Thriller/Suspense,Based on Real Life Events,Live Action,Dramatization,"$40,000,000",7,"3,120","$161,306","$31,886,361","$32,621,092","$20,951,628","$52,837,989"
17,"Aug 19, 2016","Aug 19, 2016",Happy Bhaag Jayegi,Eros Entertainment,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,78,78,"$159,895","$351,840","$372,990","$120,922","$472,762"
18,"Nov 4, 2016","Nov 4, 2016",Loving,Focus Features,Drama,Based on Real Life Events,Live Action,Dramatization,"$9,000,000",4,572,"$159,615","$7,710,234","$8,165,124","$5,187,830","$12,898,064"
19,"Jul 8, 2016","Jul 7, 2016",Cold War 2,Well Go USA,Action,Original Screenplay,Live Action,Contemporary Fiction,$0,22,23,"$157,385","$560,824","$594,537","$103,968,662","$104,529,486"
20,"Oct 21, 2016","Oct 20, 2016",American Pastoral,Lionsgate,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,$0,50,70,"$149,038","$544,098","$576,802","$1,348,077","$1,892,175"
21,"Sep 2, 2016","Sep 2, 2016",Naam Hai Akira,FIP,Thriller/Suspense,Remake,Live Action,Contemporary Fiction,$0,71,71,"$136,644","$219,401","$232,588","$3,399,442","$3,618,843"
22,"May 13, 2016","May 13, 2016",Love & Friendship,Roadside Attractions,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$3,000,000",4,826,"$133,513","$14,016,568","$14,859,178","$9,917,807","$23,934,375"
23,"May 13, 2016","May 13, 2016",AmeriGeddon,,Action,Original Screenplay,Live Action,Contemporary Fiction,$0,30,30,"$131,000","$316,554","$335,576",$0,"$316,554"
24,"Dec 23, 2016","Dec 23, 2016",Silence,Paramount Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$46,500,000",4,"1,580","$130,880","$7,100,177","$7,270,224","$16,626,449","$23,726,626"
25,"Dec 16, 2016","Dec 16, 2016",Fences,Paramount Pictures,Drama,Based on Play,Live Action,Historical Fiction,"$24,000,000",4,"2,368","$129,462","$57,682,904","$60,093,899","$6,599,977","$64,282,881"
26,"Jan 8, 2016","Jan 8, 2016",The Masked Saint,Freestyle Releasing,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$3,500,000",482,482,"$123,839","$182,695","$193,670",$0,"$182,695"
27,"Nov 25, 2016","Nov 25, 2016",Lion,Weinstein Co.,Drama,Based on Factual Book/Article,Live Action,Dramatization,"$12,000,000",4,"1,802","$123,360","$51,739,495","$53,093,695","$97,378,405","$149,117,900"
28,"Aug 19, 2016","Jul 8, 2016",Final Fantasy XV: Kingsglaive,Stage 6 Films,Adventure,Based on Game,Digital Animation,Fantasy,$0,24,26,"$119,801","$269,980","$286,205","$6,210,000","$6,479,980"
29,"Feb 12, 2016","Jul 29, 2015",The Little Prince,Entertainment One,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,"$77,500,000",52,163,"$116,927","$1,311,213","$1,390,034","$100,717,706","$102,028,919"
30,"Apr 1, 2016","Apr 1, 2016",Miles Ahead,Sony Pictures Classics,Drama,Based on Real Life Events,Live Action,Dramatization,$0,4,527,"$114,530","$2,610,896","$2,767,845","$2,506,202","$5,117,098"
