Opening Weekend Rank,Released,Worldwide Release,Title,"Theatrical
Distributor",Genre,Source,"Production
Method","Creative
Type","Production
Budget","Opening Weekend
Theaters","Maximum
Theaters","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
1,"Jul 7, 2006","Jul 6, 2006",Pirates of the Caribbean: Dead Manâ€™…,Walt Disney,Adventure,Based on Theme Park Ride,Live Action,Historical Fiction,"$225,000,000","4,133","4,133","$135,634,554","$423,315,812","$592,642,135","$642,863,913","$1,066,179,725"
2,"May 26, 2006","May 26, 2006",X-Men: The Last Stand,20th Century Fox,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$210,000,000","3,690","3,714","$102,750,665","$234,362,462","$328,107,442","$224,898,484","$459,260,946"
3,"May 19, 2006","May 19, 2006",The Da Vinci Code,Sony Pictures,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$125,000,000","3,735","3,757","$77,073,388","$217,536,138","$304,550,592","$550,284,321","$767,820,459"
4,"Mar 31, 2006","Mar 31, 2006",Ice Age: The Meltdown,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$75,000,000","3,964","3,969","$68,033,544","$195,330,621","$273,462,862","$456,568,661","$651,899,282"
5,"Jun 9, 2006","May 1, 2006",Cars,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$70,000,000","3,985","3,988","$60,119,509","$244,082,982","$341,716,171","$217,547,576","$461,630,558"
6,"Jun 28, 2006","Jun 28, 2006",Superman Returns,Warner Bros.,Adventure,Based on Comic/Graphic Novel,Live Action,Super Hero,"$232,000,000","4,065","4,065","$52,535,096","$200,120,000","$280,167,993","$190,961,192","$391,081,192"
7,"May 5, 2006","May 5, 2006",Mission: Impossible III,Paramount Pictures,Action,Based on TV,Live Action,Contemporary Fiction,"$150,000,000","4,054","4,059","$47,743,273","$133,501,348","$186,901,885","$265,886,397","$399,387,745"
8,"Aug 4, 2006","Aug 4, 2006",Talladega Nights: The Ballad of Ricky…,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$73,000,000","3,803","3,807","$47,042,215","$148,213,377","$207,498,723","$14,657,148","$162,870,525"
9,"Nov 17, 2006","Nov 17, 2006",Happy Feet,Warner Bros.,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$85,000,000","3,804","3,804","$41,533,432","$198,000,317","$275,720,910","$186,999,998","$385,000,315"
10,"Nov 17, 2006","Nov 17, 2006",Casino Royale,Sony Pictures,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$102,000,000","3,434","3,443","$40,833,156","$167,365,000","$233,391,814","$427,055,216","$594,420,216"
11,"Apr 14, 2006","Apr 14, 2006",Scary Movie 4,Weinstein/Dimension,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$40,000,000","3,602","3,673","$40,222,875","$90,710,620","$126,994,862","$88,000,000","$178,710,620"
12,"Jun 23, 2006","Jun 23, 2006",Click,Sony Pictures,Comedy,Original Screenplay,Live Action,Fantasy,"$82,500,000","3,749","3,764","$40,011,365","$137,355,633","$192,297,880","$100,329,456","$237,685,089"
13,"Jun 2, 2006","Jun 2, 2006",The Break-Up,Universal,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$52,000,000","3,070","3,146","$39,172,785","$118,703,275","$166,184,581","$87,024,032","$205,727,307"
14,"May 19, 2006","May 19, 2006",Over the Hedge,Paramount Pictures,Adventure,Based on Comic/Graphic Novel,Digital Animation,Kids Fiction,"$80,000,000","4,059","4,093","$38,457,003","$155,019,340","$217,027,069","$188,377,907","$343,397,247"
