Opening Weekend Rank,Released,Worldwide Release,Title,"Theatrical
Distributor",Genre,Source,"Production
Method","Creative
Type","Production
Budget","Opening Weekend
Theaters","Maximum
Theaters","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
1,"Dec 2, 2022","Dec 2, 2022",The Eternal Daughter,A24,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,29,29,"$33,657","$33,657","$33,657",$0,"$33,657"
2,"Jun 3, 2022","Jun 3, 2022",Maika,Well Go USA,Adventure,Based on TV,Live Action,Kids Fiction,$0,23,23,"$33,411","$69,257","$69,257",$0,"$69,257"
3,"May 6, 2022","Nov 4, 2021",Lâ€™evenement,IFC Films,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,$0,4,188,"$33,312","$181,023","$181,023","$546,911","$727,934"
4,"Aug 12, 2022","Aug 12, 2022",Summering,Bleecker Street,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,260,260,"$32,850","$57,770","$57,770","$6,606","$64,376"
5,"Apr 29, 2022","Apr 29, 2022",Green Ghost & The Masters Of The Stone,Gravitas Ventures,Action,Original Screenplay,Live Action,Super Hero,$0,135,135,"$32,376","$113,687","$113,687",$0,"$113,687"
6,"Dec 23, 2022","Jun 9, 2022",Corsage,IFC Films,Drama,Original Screenplay,Live Action,Historical Fiction,$0,2,317,"$32,285","$705,767","$705,767","$1,727,975","$2,433,742"
7,"Sep 16, 2022","Jul 15, 2022","Gubbai, Don GurÃ®zu!",Fathom Events,Adventure,Original Screenplay,Hand Animation,Contemporary Fiction,$0,416,416,"$32,096","$86,610","$86,610","$16,146","$102,756"
8,"Dec 9, 2022","Dec 9, 2022",Loudmouth,Greenwich,Documentary,Based on Real Life Events,Live Action,Factual,$0,116,116,"$30,254","$42,000","$42,000",$0,"$42,000"
9,"Nov 23, 2022","Nov 23, 2022",All The Beauty And The Bloodshed,Neon,Documentary,Based on Real Life Events,Live Action,Factual,$0,3,48,"$28,803","$500,082","$500,082","$498,231","$998,313"
10,"Dec 26, 2022","Jun 8, 2022",beurokeo (ë¸Œë¡œì»¤),Neon,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,4,271,"$28,482","$1,046,898","$1,046,898","$10,919,060","$11,965,958"
11,"Dec 2, 2022","Dec 2, 2022",Framing Agnes,Kino Lorber,Drama,Based on Real Life Events,Live Action,Historical Fiction,$0,1,5,"$28,214","$47,087","$47,087",$0,"$47,087"
12,"Apr 15, 2022","Nov 5, 2021","Les Olympiades, Paris 13e",IFC Films,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,$0,67,67,"$27,775","$73,118","$73,118","$543,212","$616,330"
