Opening Weekend Rank,Released,Worldwide Release,Title,"Theatrical
Distributor",Genre,Source,"Production
Method","Creative
Type","Production
Budget","Opening Weekend
Theaters","Maximum
Theaters","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
1,"Oct 26, 2012","Oct 26, 2012",The Last Fall,,,,,,$0,1,1,"$6,568","$6,568","$7,565",$0,"$6,568"
2,"Jun 22, 2012","Jun 22, 2012",Grassroots,Samuel Goldwyn Films,Comedy,Based on Factual Book/Article,Live Action,Contemporary Fiction,$0,1,1,"$6,497","$6,497","$7,483",$0,"$6,497"
3,"Apr 25, 2012","Apr 25, 2012",Inventing Our Life: The Kibbutz Exper…,First Run Features,Documentary,Based on Real Life Events,Live Action,Factual,$0,1,3,"$6,193","$16,734","$19,275",$0,"$16,734"
4,"Sep 5, 2012","Sep 5, 2012",For Ellen,TriBeca Films,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,1,3,"$6,100","$12,396","$14,278","$8,350","$20,746"
5,"Nov 9, 2012","Nov 9, 2012",The Comedy,TriBeca Films,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,6,6,"$6,000","$41,113","$47,354",$0,"$41,113"
6,"Mar 9, 2012","Mar 9, 2012",Sound of Noise,Magnolia Pictures,Comedy,Based on Short Film,Live Action,Contemporary Fiction,$0,3,5,"$5,877","$24,565","$28,299",$0,"$24,565"
7,"Sep 19, 2012","Sep 19, 2012",Radio Unnameable,Kino Lorber,Documentary,Based on Real Life Events,Live Action,Factual,$0,1,2,"$5,833","$24,090","$27,629",$0,"$24,090"
8,"Jun 22, 2012","Jun 22, 2012",BRO',,Action,Original Screenplay,Live Action,Contemporary Fiction,$0,1,1,"$5,737","$9,329","$10,738",$0,"$9,329"
9,"May 25, 2012","May 25, 2012",OC87,Fisher-Klingenstein Films,Documentary,Based on Real Life Events,Live Action,Factual,$0,1,6,"$5,733","$43,583","$50,206",$0,"$43,583"
10,"Nov 9, 2012","Nov 9, 2012",Citadel,Cinedigm,Horror,Original Screenplay,Live Action,Fantasy,$0,1,7,"$5,715","$13,377","$15,396",$0,"$13,377"
