Opening Weekend Rank,Released,Worldwide Release,Title,"Theatrical
Distributor",Genre,Source,"Production
Method","Creative
Type","Production
Budget","Opening Weekend
Theaters","Maximum
Theaters","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
1,"Feb 17, 2017","Sep 7, 1970",Memorias del subdesarrollo,Janus Films,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,$0,1,1,"$8,244","$29,647","$29,839",$0,"$29,647"
2,"Sep 15, 2017","Sep 15, 2017",Manolo: The Boy Who Made Shoes for Li…,Music Box Films,Documentary,Based on Real Life Events,Live Action,Factual,$0,3,11,"$8,186","$60,056","$61,393","$4,831","$64,887"
3,"Jun 16, 2017","Sep 26, 1963",Il Boom,Rialto Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,1,2,"$8,164","$57,308","$58,578",$0,"$57,308"
4,"Mar 31, 2017","Nov 4, 2016",La Mort de Louis XIV,Cinema Guild,Drama,Based on Real Life Events,Live Action,Dramatization,$0,1,3,"$8,002","$43,635","$44,603","$166,067","$209,702"
5,"Mar 3, 2017","Mar 3, 2017",Donald Cried,The Orchard,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,2,17,"$7,977","$61,406","$62,769",$0,"$61,406"
6,"Sep 22, 2017","May 5, 2017",Kongens Nei,Samuel Goldwyn Films,Drama,Based on Real Life Events,Live Action,Dramatization,$0,2,10,"$7,850","$113,231","$115,753","$566,762","$679,993"
7,"Sep 15, 2017","Sep 15, 2017",Rat Film,Cinema Guild,Documentary,Based on Real Life Events,Live Action,Factual,$0,2,4,"$7,793","$35,195","$35,946",$0,"$35,195"
8,"Oct 18, 2017","Apr 7, 2017",The Paris Opera,Film Movement,Documentary,Based on Real Life Events,Live Action,Factual,$0,4,9,"$7,709","$55,482","$56,661","$729,991","$785,473"
9,"Jun 14, 2017","Aug 19, 2016",Moka,Film Movement,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,$0,1,18,"$7,660","$129,547","$132,433","$1,759,757","$1,889,304"
10,"Nov 17, 2017","Mar 24, 2017",Bamui haebyun-eoseo honja,Cinema Guild,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,2,3,"$7,594","$37,489","$38,211","$405,170","$442,659"
11,"Sep 22, 2017","Sep 22, 2017",Bobbi Jene,Oscilloscope Pictures,Documentary,Based on Real Life Events,Live Action,Factual,$0,1,3,"$7,500","$18,579","$18,991",$0,"$18,579"
12,"Oct 6, 2017","Oct 6, 2017",So B. It,Good Deed Entertainment,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,$0,2,22,"$7,455","$46,006","$47,024",$0,"$46,006"
13,"Apr 14, 2017","Dec 4, 2015",Demain,Under the Milky Way,Documentary,Based on Real Life Events,Live Action,Factual,$0,4,97,"$7,377","$43,471","$44,438","$8,295,068","$8,338,539"
14,"Feb 1, 2017","Feb 1, 2017",CÃ³rki dancingu,Janus Films,Drama,Original Screenplay,Live Action,Fantasy,$0,1,7,"$7,370","$101,657","$103,914","$1,329","$102,986"
