Opening Weekend Rank,Released,Worldwide Release,Title,"Theatrical
Distributor",Genre,Source,"Production
Method","Creative
Type","Production
Budget","Opening Weekend
Theaters","Maximum
Theaters","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
1,"Oct 11, 2013","Oct 11, 2013",God Loves Uganda,Variance Films,Documentary,Based on Real Life Events,Live Action,Factual,$0,1,5,"$5,530","$51,229","$57,780",$0,"$51,229"
2,"Jan 18, 2013","Jan 18, 2013",Greenwich Village: Music That Defined…,Kino Lorber,Documentary,Based on Real Life Events,Live Action,Factual,$0,1,2,"$5,530","$23,701","$26,731",$0,"$23,701"
3,"Feb 8, 2013","Sep 28, 2011",Bai she chuan shuo,Magnolia Pictures,Action,Based on Folk Tale/Legend/Fairytale,Live Action,Fantasy,$0,5,5,"$5,530","$18,759","$21,155","$32,123,862","$32,142,621"
4,"Oct 11, 2013","Oct 11, 2013",Broadway Idiot,FilmBuff,Documentary,Based on Real Life Events,Live Action,Factual,$0,1,6,"$5,514","$27,595","$31,123",$0,"$27,595"
5,"Aug 2, 2013","Aug 2, 2013",A perdre la raison,Distrib Films,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,1,4,"$5,500","$23,203","$26,162",$0,"$23,203"
6,"Nov 1, 2013","Nov 1, 2013",These Birds Walk,Oscilloscope Pictures,Documentary,Based on Real Life Events,Live Action,Factual,$0,1,2,"$5,454","$14,000","$15,791",$0,"$14,000"
7,"Dec 13, 2013","Dec 13, 2013",Liv & Ingmar,Janus Films,Documentary,Based on Real Life Events,Live Action,Factual,$0,2,2,"$5,451","$10,347","$11,664",$0,"$10,347"
8,"Aug 9, 2013","Feb 8, 2013",I Give It a Year,Magnolia Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,2,6,"$5,436","$34,657","$39,083","$28,293,874","$28,328,531"
9,"Jun 7, 2013","Apr 12, 2013",Vous n'avez encore rien vu,Kino Lorber,Drama,Based on Play,Live Action,Contemporary Fiction,$0,2,3,"$5,343","$19,373","$21,843","$42,377","$61,750"
10,"Mar 22, 2013","Mar 24, 1982",Le Pont du Nord,The Film Desk,Comedy,Original Screenplay,Live Action,Fantasy,$0,1,1,"$5,333","$17,110","$19,294",$0,"$17,110"
11,"May 31, 2013","Jun 2, 1983",Nostalghia,Kino Lorber,Documentary,Original Screenplay,Live Action,Contemporary Fiction,$0,1,1,"$5,233","$18,846","$21,256",$0,"$18,846"
12,"Oct 2, 2013","Oct 2, 2013",Let the Fire Burn,Zeitgeist,Documentary,Based on Real Life Events,Live Action,Factual,$0,1,9,"$5,226","$49,128","$55,405",$0,"$49,128"
13,"Jun 12, 2013","Oct 12, 2012",More Than Honey,Kino Lorber,Documentary,Based on Real Life Events,Live Action,Factual,$0,1,7,"$5,225","$78,324","$88,298","$8,165,747","$8,244,071"
14,"Oct 16, 2013","Oct 16, 2013",Camille Claudel: 1915,Kino Lorber,Drama,Based on Real Life Events,Live Action,Dramatization,$0,1,4,"$5,106","$35,296","$39,761",$0,"$35,296"
15,"Jul 5, 2013","Apr 26, 2013",The Look of Love,IFC Films,Drama,Based on Real Life Events,Live Action,Dramatization,$0,3,6,"$5,105","$16,119","$18,175","$587,000","$603,119"
16,"Mar 29, 2013","May 17, 2012",Elefante blanco,Strand,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,1,1,"$5,098","$8,863","$9,995","$5,715,927","$5,724,790"
17,"Nov 8, 2013","Nov 8, 2013",At Berkeley,Zipporah,Documentary,Based on Real Life Events,Live Action,Factual,$0,2,6,"$5,069","$31,736","$35,763",$0,"$31,736"
18,"Sep 6, 2013","Sep 6, 2013",Red Obsession,Area23a/FilmBuff,Documentary,Based on Real Life Events,Live Action,Factual,$0,2,3,"$5,060","$9,939","$11,206","$14,448","$24,387"
19,"Apr 5, 2013","Apr 5, 2013",Simon Killer,IFC Films,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,$0,1,5,"$5,054","$24,082","$27,162","$9,918","$34,000"
