Opening Weekend Rank,Released,Worldwide Release,Title,"Theatrical
Distributor",Genre,Source,"Production
Method","Creative
Type","Production
Budget","Opening Weekend
Theaters","Maximum
Theaters","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
1,"May 6, 2016","Apr 22, 2016",Captain America: Civil War,Walt Disney,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$250,000,000","4,226","4,226","$179,139,142","$408,084,349","$432,616,584","$743,815,237","$1,151,899,586"
2,"Mar 25, 2016","Mar 23, 2016",Batman v Superman: Dawn of Justice,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$263,000,000","4,242","4,256","$166,007,347","$330,360,194","$350,219,998","$542,034,897","$872,395,091"
3,"Dec 16, 2016","Dec 14, 2016",Rogue One: A Star Wars Story,Walt Disney,Adventure,Spin-Off,Animation/Live Action,Science Fiction,"$200,000,000","4,157","4,157","$155,081,681","$533,539,991","$561,478,330","$521,543,605","$1,055,083,596"
4,"Jun 17, 2016","Jun 16, 2016",Finding Dory,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$200,000,000","4,305","4,305","$135,060,273","$486,295,561","$515,529,514","$538,710,564","$1,025,006,125"
5,"Aug 5, 2016","Aug 2, 2016",Suicide Squad,Warner Bros.,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,"$175,000,000","4,255","4,255","$133,682,248","$325,100,054","$344,643,639","$420,644,926","$745,744,980"
6,"Feb 12, 2016","Feb 9, 2016",Deadpool,20th Century Fox,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,"$58,000,000","3,558","3,856","$132,434,639","$363,070,709","$384,896,922","$418,876,982","$781,947,691"
7,"Jul 8, 2016","May 8, 2016",The Secret Life of Pets,Universal,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$75,000,000","4,370","4,381","$104,352,905","$368,384,330","$390,529,970","$516,918,170","$885,302,500"
8,"Apr 15, 2016","Apr 7, 2016",The Jungle Book,Walt Disney,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$175,000,000","4,028","4,144","$103,261,464","$364,001,123","$385,883,265","$589,534,698","$953,535,821"
9,"Nov 4, 2016","Oct 24, 2016",Doctor Strange,Walt Disney,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,"$165,000,000","3,882","3,882","$85,058,311","$232,641,920","$246,531,479","$443,701,254","$676,343,174"
10,"Mar 4, 2016","Feb 10, 2016",Zootopia,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$150,000,000","3,827","3,959","$75,063,401","$341,268,248","$361,783,790","$661,194,330","$1,002,462,578"
11,"Nov 18, 2016","Nov 14, 2016",Fantastic Beasts and Where to Find Them,Warner Bros.,Adventure,Spin-Off,Animation/Live Action,Fantasy,"$180,000,000","4,144","4,144","$74,403,387","$234,037,575","$247,677,188","$577,686,810","$811,724,385"
12,"May 27, 2016","May 18, 2016",X-Men: Apocalypse,20th Century Fox,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$178,000,000","4,150","4,153","$65,769,562","$155,442,489","$164,787,000","$387,095,057","$542,537,546"
13,"Jul 22, 2016","Jul 21, 2016",Star Trek Beyond,Paramount Pictures,Adventure,Based on TV,Live Action,Science Fiction,"$185,000,000","3,928","3,928","$59,253,211","$158,848,340","$168,397,596","$176,825,368","$335,673,708"
14,"Jul 29, 2016","Jul 20, 2016",Jason Bourne,Universal,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$120,000,000","4,026","4,039","$59,215,365","$162,192,920","$171,943,240","$253,975,396","$416,168,316"
15,"Nov 23, 2016","Jan 27, 2016",Moana,Walt Disney,Musical,Original Screenplay,Digital Animation,Kids Fiction,"$150,000,000","3,875","3,875","$56,631,401","$248,757,044","$262,247,200","$381,975,964","$630,733,008"
16,"Nov 4, 2016","Oct 12, 2016",Trolls,20th Century Fox,Adventure,Based on Toy,Digital Animation,Kids Fiction,"$125,000,000","4,060","4,066","$46,581,142","$153,707,064","$162,811,984","$189,535,549","$343,242,613"
17,"Jul 15, 2016","Jul 13, 2016",Ghostbusters,Sony Pictures,Comedy,Remake,Animation/Live Action,Science Fiction,"$144,000,000","3,963","3,963","$46,018,755","$128,350,574","$136,066,441","$100,658,084","$229,008,658"
18,"Jan 29, 2016","Jan 23, 2016",Kung Fu Panda 3,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$140,000,000","3,955","3,987","$41,282,042","$143,528,619","$152,156,921","$377,642,206","$521,170,825"
19,"Jun 24, 2016","Jun 22, 2016",Independence Day: Resurgence,20th Century Fox,Action,Original Screenplay,Live Action,Science Fiction,"$165,000,000","4,068","4,091","$41,039,944","$103,144,286","$109,344,859","$281,025,138","$384,169,424"
20,"Jun 10, 2016","Jun 9, 2016",The Conjuring 2: The Enfield Poltergeist,Warner Bros.,Horror,Original Screenplay,Live Action,Fantasy,"$40,000,000","3,343","3,356","$40,406,314","$102,470,008","$108,630,057","$207,726,324","$310,196,332"
