Opening Weekend Rank,Released,Worldwide Release,Title,"Theatrical
Distributor",Genre,Source,"Production
Method","Creative
Type","Production
Budget","Opening Weekend
Theaters","Maximum
Theaters","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
1,"Feb 27, 2015","Feb 27, 2015",After the Ball,Pacific Northwest Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,42,43,"$31,718","$161,820","$176,018","$72,597","$234,417"
2,"Sep 11, 2015","Mar 13, 2015",X+Y,Samuel Goldwyn Films,Drama,Based on Movie,Live Action,Contemporary Fiction,$0,3,18,"$31,408","$139,511","$151,754","$1,935,587","$2,075,098"
3,"Aug 14, 2015","Aug 14, 2015","People, Places, Things",Film Arcade,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,19,19,"$30,768","$30,768","$33,461","$184,613","$215,381"
4,"Apr 17, 2015","Apr 17, 2015",1915,,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,8,10,"$30,448","$96,682","$105,162",$0,"$96,682"
5,"Sep 4, 2015","Feb 18, 2015",Tian jiang xiong shi,Lionsgate,Action,Original Screenplay,Live Action,Historical Fiction,"$65,000,000",14,14,"$30,346","$74,070","$80,568","$122,445,804","$122,519,874"
6,"Jul 24, 2015","Jan 30, 2015",Phoenix,IFC Films,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,$0,2,197,"$30,296","$3,166,858","$3,444,848","$3,056,173","$6,223,031"
7,"Apr 17, 2015","Apr 17, 2015",Beyond The Reach,Roadside Attractions,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,$0,28,28,"$30,287","$45,895","$49,921","$919,335","$965,230"
8,"Apr 17, 2015","Apr 17, 2015",Mr. X,Fox International,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,$0,52,52,"$30,097","$44,995","$48,940","$3,200,000","$3,244,995"
9,"Jul 29, 2015","Jul 29, 2015",Listen to Me Marlon,Abramorama Films,Documentary,Based on Real Life Events,Live Action,Factual,$0,2,38,"$30,068","$426,130","$463,534","$91,663","$517,793"
10,"Oct 30, 2015","Jul 17, 2015",Love,Alchemy,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,2,26,"$29,301","$249,665","$271,579","$565,310","$814,975"
