Opening Weekend Rank,Released,Worldwide Release,Title,"Theatrical
Distributor",Genre,Source,"Production
Method","Creative
Type","Production
Budget","Opening Weekend
Theaters","Maximum
Theaters","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
1,"Jan 2, 2009","Jan 2, 2009","Angry Monk: Reflections on Tibet, The",First Run/Icarus,Documentary,Based on Real Life Events,Live Action,Factual,$0,1,1,"$2,125","$2,125","$2,705",$0,"$2,125"
2,"Jan 9, 2009","Jan 9, 2009",Yonkers Joe,Magnolia Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,2,2,"$2,073","$8,286","$10,124",$0,"$8,286"
3,"Aug 14, 2009","Aug 14, 2009",Wolke 9,,,,,,$0,1,8,"$2,055","$91,675","$111,819",$0,"$91,675"
4,"Aug 21, 2009","Aug 21, 2009",Sikandar,Reliance Big Pictures,,,,,$0,9,9,"$1,954","$1,954","$2,384",$0,"$1,954"
5,"Sep 25, 2009","Sep 25, 2009",The Blue Tooth Virgin,Regent Releasing,,,,,$0,2,2,"$1,926","$2,762","$3,365",$0,"$2,762"
6,"Mar 6, 2009","Mar 6, 2009",Shuttle,Truly Indie,Horror,,,,$0,1,1,"$1,925","$1,925","$2,348",$0,"$1,925"
7,"Oct 23, 2009","Oct 23, 2009",The Canyon,Truly Indie,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,$0,2,2,"$1,785","$1,785","$2,182",$0,"$1,785"
8,"Sep 4, 2009","Sep 4, 2009",Sandstorm,Self Distributed,Drama,,,,$0,1,1,"$1,744","$3,444","$4,209",$0,"$3,444"
9,"May 29, 2009","May 29, 2009",Munyurangabo,Film Movement,,,,,$0,1,1,"$1,703","$7,001","$8,556",$0,"$7,001"
10,"Dec 16, 2009","Dec 16, 2009",Ricky,IFC Films,,,,,$0,1,1,"$1,626","$3,457","$4,218",$0,"$3,457"
11,"Nov 6, 2009","Nov 6, 2009",Endgame,Monterey Media,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,$0,14,14,"$1,608","$9,645","$11,701",$0,"$9,645"
12,"May 1, 2009","May 1, 2009",The Skeptic,IFC Films,Thriller/Suspense,,Live Action,Contemporary Fiction,$0,1,2,"$1,553","$6,671","$8,152",$0,"$6,671"
13,"Apr 17, 2009","Apr 17, 2009",Gooby,Monterey Media,Drama,,,Kids Fiction,$0,10,27,"$1,552","$3,564","$4,356",$0,"$3,564"
14,"May 29, 2009","May 29, 2009",Pontypool,IFC Films,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$1,500,000",1,1,"$1,541","$3,865","$4,723","$28,051","$31,916"
15,"Feb 6, 2009","Feb 6, 2009",Absurdistan,First Run Features,Comedy,,,,$0,1,3,"$1,441","$39,683","$48,518",$0,"$39,683"
16,"Aug 14, 2009","Aug 14, 2009",American Casino,Argot Pictures,Documentary,Based on Real Life Events,Live Action,Factual,$0,1,3,"$1,397","$46,710","$57,111",$0,"$46,710"
17,"Feb 6, 2009","Feb 6, 2009",Incendiary,Capitol Films,,,,,$0,2,2,"$1,260","$1,260","$1,541",$0,"$1,260"
18,"Oct 9, 2009","Oct 9, 2009",The Wedding Song,Strand,,,,,$0,1,4,"$1,240","$31,160","$37,212",$0,"$31,160"
19,"Aug 14, 2009","Aug 14, 2009",Mein Fuhrer: The Truly Truest Truth A…,,,,,,$0,1,1,"$1,197","$2,465","$3,008",$0,"$2,465"
20,"May 1, 2009","May 1, 2009",Break,Cinema Epoch,Action,Original Screenplay,Live Action,Contemporary Fiction,$0,1,1,"$1,191","$1,191","$1,449",$0,"$1,191"
21,"Nov 6, 2009","Nov 6, 2009",Humble Pie,Monterey Media,,,,,$0,2,2,"$1,083","$3,359","$4,099",$0,"$3,359"
22,"Jul 31, 2009","Jul 31, 2009",Ghosted,First Run Features,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,1,1,$980,"$1,780","$2,173",$0,"$1,780"
23,"Jul 24, 2009","Jul 24, 2009",How to be a Serial Killer,Monterey Media,,,,,$0,1,1,$899,$899,"$1,091",$0,$899
24,"Jan 28, 2009","Jan 28, 2009",Blessed is the Match: The Life and De…,Balcony Releasing,Documentary,Based on Real Life Events,Live Action,Factual,$0,1,3,$870,"$18,654","$22,806",$0,"$18,654"
25,"Jul 10, 2009","Jan 23, 1969",Dillinger is Dead,Janus Films,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,1,1,$746,"$8,322","$10,170",$0,"$8,322"
26,"Oct 16, 2009","Oct 16, 2009",Food Beware,First Run Features,Documentary,Based on Real Life Events,Live Action,Factual,$0,1,1,$595,"$1,181","$1,440",$0,"$1,181"
27,"Aug 7, 2009","Aug 7, 2009",12 in a Box,Cinevolve Studios,,,,,$0,1,1,$553,$553,$669,$0,$553
28,"Jul 31, 2009","Jul 31, 2009",Act of God,Zeitgeist,,,,,$0,1,1,$522,"$9,955","$12,169",$0,"$9,955"
29,"Jun 19, 2009","Jun 19, 2009",$9.99,Regent Releasing,Drama,Based on Fiction Book/Short Story,Stop-Motion Animation,Contemporary Fiction,$0,1,3,$478,"$52,107","$63,667",$0,"$52,107"
30,"Aug 14, 2009","Aug 14, 2009","Patrik, Age 1.5",,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,1,9,$408,"$57,468","$66,803",$0,"$57,468"
31,"Aug 7, 2009","Aug 7, 2009",El Tinte de la Fama,Cinevolve Studios,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,1,1,$341,$341,$413,$0,$341
32,"Apr 23, 2009","Apr 23, 2009",Home,Monterey Media,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$500,000",1,3,$226,"$15,433","$18,863","$44,777,735","$44,793,168"
33,"Jan 23, 2009","Jan 23, 2009",Made in Jamaica,ArtMattan Films,Documentary,Based on Real Life Events,Live Action,Factual,$0,1,1,$181,"$3,149","$3,842",$0,"$3,149"
34,"Feb 4, 2009","Feb 4, 2009",The Objective,IFC Films,Horror,Original Screenplay,Live Action,Contemporary Fiction,$0,1,1,$95,$95,$110,$0,$95
35,"Jan 16, 2009","Jan 16, 2009",The Village Barbershop,Monterey Media,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,1,2,$89,"$2,359","$2,879",$0,"$2,359"
