Opening Weekend Rank,Released,Worldwide Release,Title,"Theatrical
Distributor",Genre,Source,"Production
Method","Creative
Type","Production
Budget","Opening Weekend
Theaters","Maximum
Theaters","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
1,"Sep 19, 2008","Sep 19, 2008",My Best Friend's Girl,Lionsgate,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$20,000,000","2,604","2,636","$8,265,357","$19,219,250","$24,546,036","$15,567,861","$34,787,111"
2,"Feb 29, 2008","Feb 29, 2008",The Other Boleyn Girl,Sony Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$40,000,000","1,166","1,212","$8,203,061","$26,814,957","$34,246,951","$51,455,013","$78,269,970"
3,"Apr 4, 2008","Apr 4, 2008",The Ruins,Paramount Pictures,Horror,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$25,000,000","2,812","2,814","$8,003,421","$17,432,844","$22,264,512","$5,477,719","$22,910,563"
4,"Aug 27, 2008","Aug 27, 2008",Traitor,Overture Films,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$22,000,000","2,054","2,108","$7,868,465","$23,530,831","$30,052,603","$4,351,395","$27,882,226"
5,"Sep 19, 2008","Sep 19, 2008",Igor,MGM,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$22,000,000","2,339","2,341","$7,803,347","$19,528,602","$24,936,696","$11,484,747","$31,013,349"
6,"Sep 5, 2008","Sep 5, 2008",Bangkok Dangerous,Lionsgate,Action,Remake,Live Action,Contemporary Fiction,"$45,000,000","2,650","2,654","$7,783,266","$15,298,133","$19,538,143","$31,300,000","$46,598,133"
7,"Jan 18, 2008","Jan 18, 2008",Mad Money,Overture Films,Comedy,Remake,Live Action,Contemporary Fiction,"$22,000,000","2,470","2,470","$7,736,452","$20,668,843","$26,397,386","$4,375,214","$25,044,057"
8,"Jul 18, 2008","Jul 18, 2008",Space Chimps,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$37,000,000","2,511","2,538","$7,181,374","$30,105,968","$38,450,103","$36,923,988","$67,029,956"
9,"Apr 18, 2008","Apr 18, 2008",88 Minutes,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$30,000,000","2,168","2,168","$6,957,216","$16,930,884","$21,623,419","$16,024,515","$32,955,399"
10,"Sep 26, 2008","Sep 26, 2008",Fireproof,Samuel Goldwyn Films,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$500,000",839,905,"$6,804,764","$33,456,317","$42,718,133","$16,980","$33,473,297"
11,"Dec 25, 2008","Dec 25, 2008",The Spirit,Lionsgate,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$60,000,000","2,509","2,509","$6,463,278","$19,806,188","$25,183,259","$19,200,000","$39,006,188"
