Opening Weekend Rank,Released,Worldwide Release,Title,"Theatrical
Distributor",Genre,Source,"Production
Method","Creative
Type","Production
Budget","Opening Weekend
Theaters","Maximum
Theaters","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
1,"Dec 8, 2006","Dec 8, 2006",Blood Diamond,Warner Bros.,Action,Original Screenplay,Live Action,Historical Fiction,"$100,000,000","1,910","1,920","$8,648,324","$57,377,916","$78,875,159","$114,000,000","$171,377,916"
2,"Jul 21, 2006","Jul 21, 2006",My Super Ex-Girlfriend,20th Century Fox,Romantic Comedy,Original Screenplay,Live Action,Super Hero,"$30,000,000","2,702","2,702","$8,603,460","$22,530,295","$31,542,407","$38,242,561","$60,772,856"
3,"Sep 29, 2006","Sep 29, 2006",School for Scoundrels,MGM,Comedy,Remake,Live Action,Contemporary Fiction,"$20,000,000","3,004","3,007","$8,602,333","$17,807,569","$24,930,589",$0,"$17,807,569"
4,"Jul 28, 2006","Jul 28, 2006",The Ant Bully,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,"$45,000,000","3,050","3,050","$8,432,465","$28,142,535","$39,399,547","$21,468,363","$49,610,898"
5,"Aug 11, 2006","Aug 11, 2006",Pulse,Weinstein/Dimension,Horror,Remake,Live Action,Contemporary Fiction,"$20,500,000","2,323","2,323","$8,203,822","$20,264,436","$28,370,210","$9,976,999","$30,241,435"
6,"Dec 1, 2006","Dec 1, 2006",The Nativity Story,New Line,Drama,Based on Religious Text,Live Action,Dramatization,"$35,000,000","3,083","3,083","$7,849,304","$37,629,831","$52,590,876","$8,679,813","$46,309,644"
7,"Oct 20, 2006","Oct 20, 2006",Flicka,20th Century Fox,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$15,000,000","2,877","2,877","$7,703,551","$21,000,147","$29,392,711","$896,220","$21,896,367"
8,"Jan 27, 2006","Jan 27, 2006",Annapolis,Walt Disney,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,"1,605","1,607","$7,681,171","$17,127,992","$23,979,183","$97,000","$17,224,992"
9,"Mar 3, 2006","Mar 3, 2006",Aquamarine,20th Century Fox,Comedy,Based on Fiction Book/Short Story,Live Action,Fantasy,"$12,000,000","2,512","2,538","$7,482,669","$18,597,342","$26,036,271","$4,381,611","$22,978,953"
10,"Jun 16, 2006","Jun 16, 2006",Garfield: A Tail of Two Kitties,20th Century Fox,Adventure,Based on Comic/Graphic Novel,Animation/Live Action,Kids Fiction,"$60,000,000","2,946","2,981","$7,288,977","$28,426,747","$39,797,442","$119,558,626","$147,985,373"
11,"Oct 13, 2006","Oct 13, 2006",The Marine,20th Century Fox,Action,Original Screenplay,Live Action,Contemporary Fiction,"$15,000,000","2,545","2,545","$7,138,774","$18,844,784","$26,378,541","$3,320,824","$22,165,608"
12,"Apr 7, 2006","Apr 7, 2006",Lucky Number Slevin,MGM,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$27,000,000","1,984","1,989","$7,031,921","$22,495,466","$31,493,650","$33,000,000","$55,495,466"
13,"Aug 25, 2006","Aug 25, 2006",Beerfest,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$17,500,000","2,964","2,964","$7,031,228","$19,185,184","$26,859,251","$974,132","$20,159,316"
14,"Mar 24, 2006","Mar 24, 2006",Larry the Cable Guy: Health Inspector,Lionsgate,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$17,000,000","1,710","1,747","$6,922,767","$15,680,099","$21,952,136",$0,"$15,680,099"
15,"Jan 13, 2006","Jan 13, 2006",Tristan & Isolde,20th Century Fox,Drama,Based on Folk Tale/Legend/Fairytale,Live Action,Historical Fiction,$0,"1,845","1,845","$6,583,135","$14,734,633","$20,628,484","$2,720,980","$17,455,613"
16,"Mar 3, 2006","Mar 3, 2006",Dave Chappelle's Block Party,Focus Features,Documentary,Based on Real Life Events,Live Action,Factual,"$3,000,000","1,200","1,200","$6,214,723","$11,718,595","$16,406,029","$333,329","$12,051,924"
17,"Dec 22, 2006","Dec 22, 2006",We Are Marshall,Warner Bros.,Drama,Based on Real Life Events,Live Action,Dramatization,"$65,000,000","2,606","2,608","$6,114,264","$43,545,364","$59,726,778",$0,"$43,545,364"
18,"Sep 15, 2006","Sep 15, 2006",Everyone's Hero,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,$0,"2,896","2,898","$6,061,762","$14,523,101","$20,332,338","$2,477,336","$17,000,437"
19,"Apr 28, 2006","Apr 28, 2006",Akeelah and the Bee,Lionsgate,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$8,000,000","2,195","2,195","$6,011,585","$18,848,430","$26,387,794","$110,994","$18,959,424"
20,"Sep 22, 2006","Sep 22, 2006",Flyboys,MGM,Drama,Based on Real Life Events,Live Action,Dramatization,"$60,000,000","2,033","2,033","$6,004,219","$13,090,630","$18,326,878","$1,725,749","$14,816,379"
21,"Sep 8, 2006","Sep 8, 2006",Hollywoodland,Focus Features,Drama,Based on Real Life Events,Live Action,Dramatization,$0,"1,548","1,551","$5,926,177","$14,426,251","$20,196,751","$2,400,000","$16,826,251"
22,"Feb 17, 2006","Feb 17, 2006",Freedomland,Sony Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,$0,"2,361","2,361","$5,833,562","$12,512,886","$17,518,038","$2,138,330","$14,651,216"
23,"Dec 8, 2006","Dec 8, 2006",Unaccompanied Minors,Warner Bros.,Adventure,Original Screenplay,Live Action,Contemporary Fiction,"$25,000,000","2,775","2,775","$5,815,474","$16,655,224","$23,205,730","$5,315,607","$21,970,831"
24,"May 5, 2006","May 5, 2006",An American Haunting,Freestyle Releasing,Horror,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$14,000,000","1,680","1,703","$5,783,508","$16,298,046","$22,817,262","$14,145,231","$30,443,277"
25,"Aug 25, 2006","Aug 25, 2006",Idlewild,Universal,Musical,Original Screenplay,Live Action,Historical Fiction,"$15,000,000",973,975,"$5,745,780","$12,669,914","$17,737,879",$0,"$12,669,914"
26,"May 12, 2006","May 12, 2006",Just My Luck,20th Century Fox,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$28,000,000","2,541","2,543","$5,692,285","$17,326,650","$24,257,309","$20,833,255","$38,159,905"
27,"Oct 20, 2006","Oct 20, 2006",Marie Antoinette,Sony Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Dramatization,"$40,000,000",859,870,"$5,361,050","$15,962,471","$22,347,455","$44,900,000","$60,862,471"
