Opening Weekend Rank,Released,Worldwide Release,Title,"Theatrical
Distributor",Genre,Source,"Production
Method","Creative
Type","Production
Budget","Opening Weekend
Theaters","Maximum
Theaters","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
1,"Apr 8, 2005","Apr 8, 2005",Winter Solstice,Paramount Vantage,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,5,39,"$20,393","$319,355","$456,859",$0,"$319,355"
2,"Apr 29, 2005","Apr 29, 2005",Bin-jip,Sony Pictures Classics,Drama,Original Screenplay,Live Action,,$0,7,31,"$20,084","$238,507","$341,197",$0,"$238,507"
3,"Dec 25, 2005","Dec 25, 2005",The New World,New Line,Adventure,Original Screenplay,Live Action,Historical Fiction,"$30,000,000",3,811,"$20,000","$12,712,093","$17,801,703","$13,472,307","$26,184,400"
4,"Apr 15, 2005","Apr 15, 2005",It's All Gone Pete Tong,Matson,Drama,Based on Real Life Events,Live Action,Dramatization,"$2,000,000",1,24,"$19,717","$120,620","$172,552","$2,105,983","$2,226,603"
5,"Jan 28, 2005","Jan 28, 2005",El abrazo partido,New Yorker,Comedy,Original Screenplay,Live Action,,$0,2,6,"$18,564","$189,836","$271,570","$1,527,407","$1,717,243"
6,"Feb 18, 2005","Feb 18, 2005",Der Untergang,Newmarket Films,Drama,Based on Real Life Events,Live Action,Dramatization,"$13,500,000",1,174,"$18,195","$5,501,940","$7,870,941","$88,129,804","$93,631,744"
7,"Oct 28, 2005","Oct 28, 2005",New York Doll,First Independent Pictures,Documentary,Based on Real Life Events,Live Action,Factual,$0,5,11,"$17,583","$219,672","$312,926","$17,464","$237,136"
8,"Mar 18, 2005","Mar 18, 2005",Eating Out,Ariztical Entertainment,Comedy,Original Screenplay,Live Action,,$0,1,7,"$17,510","$155,212","$222,042",$0,"$155,212"
9,"May 6, 2005","May 6, 2005",Mysterious Skin,Tartan Films,Drama,Based on Fiction Book/Short Story,Live Action,,$0,1,19,"$17,425","$713,240","$1,020,337","$1,435,308","$2,148,548"
10,"Nov 4, 2005","Nov 4, 2005",Gay Sex in the 70's,Lovett,Documentary,Based on Real Life Events,Live Action,Factual,$0,1,5,"$17,357","$249,565","$352,211",$0,"$249,565"
11,"Sep 16, 2005","Sep 16, 2005",Garcon Stupide,Picture This Entertainment,Comedy,,Live Action,,$0,3,4,"$17,195","$151,702","$216,183",$0,"$151,702"
12,"Jul 29, 2005","May 9, 2003",Balzac et la petite tailleuse chinoise,Empire Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,$0,1,22,"$16,694","$665,260","$951,369","$4,543,228","$5,208,488"
13,"May 13, 2005","May 13, 2005",Rois & Reine (Kings and Queens),WellSpring,Drama,Original Screenplay,Live Action,,$0,2,9,"$16,101","$289,592","$414,282",$0,"$289,592"
14,"Dec 2, 2005","Dec 2, 2005",Mr. Ya Miss,Kria,Drama,,,,$0,10,10,"$15,776","$18,516","$26,483",$0,"$18,516"
15,"Oct 21, 2005","Oct 21, 2005",National Lampoon's Barely Legal,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0,20,20,"$15,766","$26,511","$37,918",$0,"$26,511"
16,"Apr 1, 2005","Apr 1, 2005",Dust to Glory,IFC Films,Documentary,Based on Real Life Events,Live Action,Factual,$0,2,80,"$15,757","$639,990","$915,551",$0,"$639,990"
17,"Jun 10, 2005","Jun 10, 2005",5×2,ThinkFilm,Comedy,Original Screenplay,Live Action,,$0,2,5,"$15,667","$128,752","$184,189","$7,300,000","$7,428,752"
18,"Apr 29, 2005","Apr 29, 2005",A Tout de Suite,Cinema Guild,Drama,Original Screenplay,Live Action,,$0,1,6,"$15,637","$248,565","$355,585",$0,"$248,565"
19,"Jan 21, 2005","Mar 11, 2004",Gegen die Wand,Strand,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,$0,2,9,"$15,216","$435,395","$622,863","$13,625,459","$14,060,854"
20,"Sep 2, 2005","Sep 2, 2005",Margaret Cho: Assassin,Regent Releasing,Comedy,Original Screenplay,Live Action,,$0,8,8,"$15,001","$39,652","$56,716",$0,"$39,652"
21,"Mar 11, 2005","Mar 11, 2005",Mail Order Wife,First Independent/Dada Films,Comedy,Original Screenplay,Live Action,,$0,2,5,"$14,643","$62,387","$89,242",$0,"$62,387"
22,"Oct 21, 2005","Oct 21, 2005",Emmanuel's Gift,First Look,Documentary,Based on Real Life Events,Live Action,Factual,$0,6,6,"$14,642","$23,578","$33,727",$0,"$23,578"
23,"Feb 4, 2005","Feb 4, 2005",The Nomi Song,Palm Pictures,Documentary,Based on Real Life Events,Live Action,Factual,$0,2,3,"$14,510","$74,216","$106,170",$0,"$74,216"
24,"Feb 4, 2005","Feb 4, 2005",Assisted Living,Economic Projections,Drama,Original Screenplay,Live Action,,$0,2,7,"$14,146","$49,048","$70,160",$0,"$49,048"
25,"Jul 15, 2005","Jul 15, 2005",The Warrior,Miramax,Action,Original Screenplay,Live Action,Historical Fiction,$0,4,5,"$14,130","$48,160","$68,894",$0,"$48,160"
26,"Feb 18, 2005","Feb 18, 2005",Schultze Gets the Blues,Paramount Vantage,Comedy,Original Screenplay,Live Action,,$0,4,35,"$14,074","$595,071","$851,288","$3,439,161","$4,034,232"
27,"Jul 22, 2005","May 13, 2005",9 Songs,Tartan Films,Drama,Original Screenplay,Live Action,,$0,1,3,"$13,457","$49,835","$71,288","$265,470","$315,305"
28,"Apr 22, 2005","Apr 22, 2005",Music from the Inside Out,Emerging Pictures,Documentary,Based on Real Life Events,Live Action,Factual,$0,1,4,"$13,444","$136,594","$195,028",$0,"$136,594"
29,"Apr 8, 2005","Apr 8, 2005",Chrystal,First Look,Drama,Original Screenplay,Live Action,Contemporary Fiction,$0,4,11,"$12,814","$80,701","$115,441",$0,"$80,701"
30,"Jun 17, 2005","Jun 17, 2005",The Talent Given Us,Vitagraph Films,Comedy,,Live Action,,$0,1,4,"$12,718","$66,014","$94,433",$0,"$66,014"
